facility_id,facility_type_name,space_code,asset_tag,instance_status,condition_note,installed_at
1000060,Computer,DG009,DG-DG009-1000060,available,Generated benchmark asset in serviceable condition.,2023-03-16T00:00:00
1000061,Computer,DG009,DG-DG009-1000061,available,Generated benchmark asset in serviceable condition.,2021-09-03T00:00:00
1000062,Computer,DG009,DG-DG009-1000062,available,Generated benchmark asset in serviceable condition.,2022-09-21T00:00:00
1000063,Computer,DG009,DG-DG009-1000063,available,Generated benchmark asset in serviceable condition.,2021-03-08T00:00:00
1000064,Computer,DG009,DG-DG009-1000064,available,Generated benchmark asset in serviceable condition.,2022-03-04T00:00:00
1000065,Computer,DG009,DG-DG009-1000065,available,Generated benchmark asset in serviceable condition.,2023-01-07T00:00:00
1000066,Computer,DG009,DG-DG009-1000066,available,Generated benchmark asset in serviceable condition.,2022-12-23T00:00:00
1000067,Computer,DG009,DG-DG009-1000067,available,Generated benchmark asset in serviceable condition.,2021-03-11T00:00:00
1000068,Projector,DG009,DG-DG009-1000068,available,Generated benchmark asset in serviceable condition.,2021-06-07T00:00:00
1000069,Air conditioner,DG009,DG-DG009-1000069,available,Generated benchmark asset in serviceable condition.,2023-01-23T00:00:00
1000070,Computer,DG010,DG-DG010-1000070,available,Generated benchmark asset in serviceable condition.,2021-08-06T00:00:00
1000071,Computer,DG010,DG-DG010-1000071,available,Generated benchmark asset in serviceable condition.,2023-05-02T00:00:00
1000072,Computer,DG010,DG-DG010-1000072,available,Generated benchmark asset in serviceable condition.,2021-12-13T00:00:00
1000073,Computer,DG010,DG-DG010-1000073,available,Generated benchmark asset in serviceable condition.,2021-05-17T00:00:00
1000074,Computer,DG010,DG-DG010-1000074,available,Generated benchmark asset in serviceable condition.,2022-07-24T00:00:00
1000075,Computer,DG010,DG-DG010-1000075,available,Generated benchmark asset in serviceable condition.,2022-12-17T00:00:00
1000076,Computer,DG010,DG-DG010-1000076,available,Generated benchmark asset in serviceable condition.,2022-06-04T00:00:00
1000077,Computer,DG010,DG-DG010-1000077,available,Generated benchmark asset in serviceable condition.,2023-02-24T00:00:00
1000078,Computer,DG010,DG-DG010-1000078,available,Generated benchmark asset in serviceable condition.,2023-01-19T00:00:00
1000079,Computer,DG010,DG-DG010-1000079,available,Generated benchmark asset in serviceable condition.,2021-04-20T00:00:00
1000080,Computer,DG010,DG-DG010-1000080,available,Generated benchmark asset in serviceable condition.,2022-11-23T00:00:00
1000081,Computer,DG010,DG-DG010-1000081,available,Generated benchmark asset in serviceable condition.,2022-07-24T00:00:00
1000082,Whiteboard,DG010,DG-DG010-1000082,available,Generated benchmark asset in serviceable condition.,2022-11-09T00:00:00
1000083,Air conditioner,DG010,DG-DG010-1000083,available,Generated benchmark asset in serviceable condition.,2022-12-16T00:00:00
1000084,TV screen,DG011,DG-DG011-1000084,available,Generated benchmark asset in serviceable condition.,2022-04-25T00:00:00
1000085,Whiteboard,DG011,DG-DG011-1000085,available,Generated benchmark asset in serviceable condition.,2021-01-10T00:00:00
1000086,Air conditioner,DG011,DG-DG011-1000086,available,Generated benchmark asset in serviceable condition.,2022-02-19T00:00:00
1000087,Whiteboard,DG012,DG-DG012-1000087,available,Generated benchmark asset in serviceable condition.,2022-11-23T00:00:00
1000088,Air conditioner,DG012,DG-DG012-1000088,available,Generated benchmark asset in serviceable condition.,2023-01-19T00:00:00
1000089,Microphone,DG012,DG-DG012-1000089,available,Generated benchmark asset in serviceable condition.,2022-02-18T00:00:00
1000090,Projector,DG012,DG-DG012-1000090,available,Generated benchmark asset in serviceable condition.,2021-03-27T00:00:00
1000091,Projector,DG013,DG-DG013-1000091,available,Generated benchmark asset in serviceable condition.,2021-09-17T00:00:00
1000092,Microphone,DG013,DG-DG013-1000092,available,Generated benchmark asset in serviceable condition.,2021-09-29T00:00:00
1000093,Microphone,DG013,DG-DG013-1000093,available,Generated benchmark asset in serviceable condition.,2022-10-30T00:00:00
1000094,Livestreaming equipment,DG013,DG-DG013-1000094,available,Generated benchmark asset in serviceable condition.,2021-08-02T00:00:00
1000095,Air conditioner,DG013,DG-DG013-1000095,available,Generated benchmark asset in serviceable condition.,2021-12-18T00:00:00
1000096,TV screen,DG013,DG-DG013-1000096,available,Generated benchmark asset in serviceable condition.,2022-04-26T00:00:00
1000097,Computer,DG013,DG-DG013-1000097,available,Generated benchmark asset in serviceable condition.,2023-05-24T00:00:00
1000098,Projector,DG014,DG-DG014-1000098,available,Generated benchmark asset in serviceable condition.,2022-04-06T00:00:00
1000099,Whiteboard,DG014,DG-DG014-1000099,available,Generated benchmark asset in serviceable condition.,2023-03-21T00:00:00
1000100,Air conditioner,DG014,DG-DG014-1000100,available,Generated benchmark asset in serviceable condition.,2021-09-25T00:00:00
1000101,TV screen,DG014,DG-DG014-1000101,available,Generated benchmark asset in serviceable condition.,2023-05-09T00:00:00
1000102,Computer,DG015,DG-DG015-1000102,available,Generated benchmark asset in serviceable condition.,2021-07-23T00:00:00
1000103,Computer,DG015,DG-DG015-1000103,available,Generated benchmark asset in serviceable condition.,2021-06-07T00:00:00
1000104,Computer,DG015,DG-DG015-1000104,available,Generated benchmark asset in serviceable condition.,2022-11-09T00:00:00
1000105,Computer,DG015,DG-DG015-1000105,available,Generated benchmark asset in serviceable condition.,2023-05-28T00:00:00
1000106,Computer,DG015,DG-DG015-1000106,available,Generated benchmark asset in serviceable condition.,2021-03-01T00:00:00
1000107,Computer,DG015,DG-DG015-1000107,available,Generated benchmark asset in serviceable condition.,2022-10-28T00:00:00
1000108,Computer,DG015,DG-DG015-1000108,available,Generated benchmark asset in serviceable condition.,2022-05-01T00:00:00
1000109,Computer,DG015,DG-DG015-1000109,available,Generated benchmark asset in serviceable condition.,2021-01-26T00:00:00
1000110,Computer,DG015,DG-DG015-1000110,available,Generated benchmark asset in serviceable condition.,2021-11-21T00:00:00
1000111,Computer,DG015,DG-DG015-1000111,available,Generated benchmark asset in serviceable condition.,2022-01-19T00:00:00
1000112,Computer,DG015,DG-DG015-1000112,available,Generated benchmark asset in serviceable condition.,2021-08-03T00:00:00
1000113,Computer,DG015,DG-DG015-1000113,available,Generated benchmark asset in serviceable condition.,2021-05-23T00:00:00
1000114,Computer,DG015,DG-DG015-1000114,available,Generated benchmark asset in serviceable condition.,2022-07-03T00:00:00
1000115,Computer,DG015,DG-DG015-1000115,available,Generated benchmark asset in serviceable condition.,2021-01-28T00:00:00
1000116,Computer,DG015,DG-DG015-1000116,available,Generated benchmark asset in serviceable condition.,2022-03-01T00:00:00
1000117,Projector,DG015,DG-DG015-1000117,available,Generated benchmark asset in serviceable condition.,2022-09-02T00:00:00
1000118,Air conditioner,DG015,DG-DG015-1000118,available,Generated benchmark asset in serviceable condition.,2023-02-17T00:00:00
1000119,Computer,DG016,DG-DG016-1000119,available,Generated benchmark asset in serviceable condition.,2022-02-02T00:00:00
1000120,Computer,DG016,DG-DG016-1000120,available,Generated benchmark asset in serviceable condition.,2022-07-06T00:00:00
1000121,Computer,DG016,DG-DG016-1000121,available,Generated benchmark asset in serviceable condition.,2021-12-10T00:00:00
1000122,Computer,DG016,DG-DG016-1000122,available,Generated benchmark asset in serviceable condition.,2022-04-05T00:00:00
1000123,Computer,DG016,DG-DG016-1000123,available,Generated benchmark asset in serviceable condition.,2022-03-03T00:00:00
1000124,Computer,DG016,DG-DG016-1000124,available,Generated benchmark asset in serviceable condition.,2022-11-08T00:00:00
1000125,Computer,DG016,DG-DG016-1000125,available,Generated benchmark asset in serviceable condition.,2022-03-04T00:00:00
1000126,Computer,DG016,DG-DG016-1000126,available,Generated benchmark asset in serviceable condition.,2021-05-07T00:00:00
1000127,Computer,DG016,DG-DG016-1000127,available,Generated benchmark asset in serviceable condition.,2023-06-04T00:00:00
1000128,Computer,DG016,DG-DG016-1000128,available,Generated benchmark asset in serviceable condition.,2022-08-19T00:00:00
1000129,Computer,DG016,DG-DG016-1000129,available,Generated benchmark asset in serviceable condition.,2022-08-23T00:00:00
1000130,Computer,DG016,DG-DG016-1000130,available,Generated benchmark asset in serviceable condition.,2021-09-10T00:00:00
1000131,Whiteboard,DG016,DG-DG016-1000131,available,Generated benchmark asset in serviceable condition.,2021-12-14T00:00:00
1000132,Air conditioner,DG016,DG-DG016-1000132,available,Generated benchmark asset in serviceable condition.,2021-03-07T00:00:00
1000133,Microphone,DG016,DG-DG016-1000133,available,Generated benchmark asset in serviceable condition.,2022-10-11T00:00:00
1000134,Projector,DG016,DG-DG016-1000134,available,Generated benchmark asset in serviceable condition.,2023-05-27T00:00:00
1000135,TV screen,DG017,DG-DG017-1000135,available,Generated benchmark asset in serviceable condition.,2021-07-10T00:00:00
1000136,Whiteboard,DG017,DG-DG017-1000136,available,Generated benchmark asset in serviceable condition.,2021-08-09T00:00:00
1000137,Air conditioner,DG017,DG-DG017-1000137,available,Generated benchmark asset in serviceable condition.,2021-11-22T00:00:00
1000138,Computer,DG017,DG-DG017-1000138,available,Generated benchmark asset in serviceable condition.,2021-07-03T00:00:00
1000139,Whiteboard,DG018,DG-DG018-1000139,available,Generated benchmark asset in serviceable condition.,2023-06-05T00:00:00
1000140,Air conditioner,DG018,DG-DG018-1000140,available,Generated benchmark asset in serviceable condition.,2021-05-29T00:00:00
1000141,Projector,DG019,DG-DG019-1000141,available,Generated benchmark asset in serviceable condition.,2023-02-18T00:00:00
1000142,Microphone,DG019,DG-DG019-1000142,available,Generated benchmark asset in serviceable condition.,2021-04-22T00:00:00
1000143,Microphone,DG019,DG-DG019-1000143,available,Generated benchmark asset in serviceable condition.,2023-05-13T00:00:00
1000144,Livestreaming equipment,DG019,DG-DG019-1000144,available,Generated benchmark asset in serviceable condition.,2021-09-27T00:00:00
1000145,Air conditioner,DG019,DG-DG019-1000145,available,Generated benchmark asset in serviceable condition.,2021-11-30T00:00:00
1000146,Projector,DG020,DG-DG020-1000146,available,Generated benchmark asset in serviceable condition.,2022-09-15T00:00:00
1000147,Whiteboard,DG020,DG-DG020-1000147,available,Generated benchmark asset in serviceable condition.,2021-08-24T00:00:00
1000148,Air conditioner,DG020,DG-DG020-1000148,available,Generated benchmark asset in serviceable condition.,2021-08-03T00:00:00
1000149,Computer,DG021,DG-DG021-1000149,available,Generated benchmark asset in serviceable condition.,2022-12-01T00:00:00
1000150,Computer,DG021,DG-DG021-1000150,available,Generated benchmark asset in serviceable condition.,2022-06-04T00:00:00
1000151,Computer,DG021,DG-DG021-1000151,available,Generated benchmark asset in serviceable condition.,2021-07-16T00:00:00
1000152,Computer,DG021,DG-DG021-1000152,available,Generated benchmark asset in serviceable condition.,2022-09-29T00:00:00
1000153,Computer,DG021,DG-DG021-1000153,available,Generated benchmark asset in serviceable condition.,2021-06-15T00:00:00
1000154,Computer,DG021,DG-DG021-1000154,available,Generated benchmark asset in serviceable condition.,2022-09-02T00:00:00
1000155,Computer,DG021,DG-DG021-1000155,available,Generated benchmark asset in serviceable condition.,2021-05-14T00:00:00
1000156,Computer,DG021,DG-DG021-1000156,available,Generated benchmark asset in serviceable condition.,2021-11-20T00:00:00
1000157,Computer,DG021,DG-DG021-1000157,available,Generated benchmark asset in serviceable condition.,2022-01-26T00:00:00
1000158,Computer,DG021,DG-DG021-1000158,available,Generated benchmark asset in serviceable condition.,2021-10-28T00:00:00
1000159,Computer,DG021,DG-DG021-1000159,available,Generated benchmark asset in serviceable condition.,2023-02-25T00:00:00
1000160,Projector,DG021,DG-DG021-1000160,available,Generated benchmark asset in serviceable condition.,2021-04-12T00:00:00
1000161,Air conditioner,DG021,DG-DG021-1000161,available,Generated benchmark asset in serviceable condition.,2022-03-11T00:00:00
1000162,Whiteboard,DG021,DG-DG021-1000162,available,Generated benchmark asset in serviceable condition.,2022-10-08T00:00:00
1000163,Computer,DG022,DG-DG022-1000163,available,Generated benchmark asset in serviceable condition.,2022-07-31T00:00:00
1000164,Computer,DG022,DG-DG022-1000164,available,Generated benchmark asset in serviceable condition.,2021-04-09T00:00:00
1000165,Computer,DG022,DG-DG022-1000165,available,Generated benchmark asset in serviceable condition.,2021-12-07T00:00:00
1000166,Computer,DG022,DG-DG022-1000166,available,Generated benchmark asset in serviceable condition.,2022-12-17T00:00:00
1000167,Computer,DG022,DG-DG022-1000167,available,Generated benchmark asset in serviceable condition.,2021-04-09T00:00:00
1000168,Computer,DG022,DG-DG022-1000168,available,Generated benchmark asset in serviceable condition.,2023-01-29T00:00:00
1000169,Computer,DG022,DG-DG022-1000169,available,Generated benchmark asset in serviceable condition.,2022-11-04T00:00:00
1000170,Computer,DG022,DG-DG022-1000170,available,Generated benchmark asset in serviceable condition.,2021-04-05T00:00:00
1000171,Computer,DG022,DG-DG022-1000171,available,Generated benchmark asset in serviceable condition.,2021-01-03T00:00:00
1000172,Computer,DG022,DG-DG022-1000172,available,Generated benchmark asset in serviceable condition.,2023-03-25T00:00:00
1000173,Computer,DG022,DG-DG022-1000173,available,Generated benchmark asset in serviceable condition.,2021-01-17T00:00:00
1000174,Computer,DG022,DG-DG022-1000174,available,Generated benchmark asset in serviceable condition.,2023-03-23T00:00:00
1000175,Computer,DG022,DG-DG022-1000175,available,Generated benchmark asset in serviceable condition.,2022-09-12T00:00:00
1000176,Whiteboard,DG022,DG-DG022-1000176,available,Generated benchmark asset in serviceable condition.,2021-02-16T00:00:00
1000177,Air conditioner,DG022,DG-DG022-1000177,available,Generated benchmark asset in serviceable condition.,2023-05-02T00:00:00
1000178,Livestreaming equipment,DG022,DG-DG022-1000178,available,Generated benchmark asset in serviceable condition.,2023-05-26T00:00:00
1000179,TV screen,DG023,DG-DG023-1000179,available,Generated benchmark asset in serviceable condition.,2021-07-23T00:00:00
1000180,Whiteboard,DG023,DG-DG023-1000180,available,Generated benchmark asset in serviceable condition.,2021-01-27T00:00:00
1000181,Air conditioner,DG023,DG-DG023-1000181,available,Generated benchmark asset in serviceable condition.,2021-06-11T00:00:00
1000182,Microphone,DG023,DG-DG023-1000182,available,Generated benchmark asset in serviceable condition.,2021-09-21T00:00:00
1000183,Whiteboard,DG024,DG-DG024-1000183,available,Generated benchmark asset in serviceable condition.,2021-09-27T00:00:00
1000184,Air conditioner,DG024,DG-DG024-1000184,available,Generated benchmark asset in serviceable condition.,2022-10-19T00:00:00
1000185,Livestreaming equipment,DG024,DG-DG024-1000185,available,Generated benchmark asset in serviceable condition.,2022-04-15T00:00:00
1000186,TV screen,DG024,DG-DG024-1000186,available,Generated benchmark asset in serviceable condition.,2022-03-22T00:00:00
1000187,Projector,DG025,DG-DG025-1000187,available,Generated benchmark asset in serviceable condition.,2022-07-26T00:00:00
1000188,Microphone,DG025,DG-DG025-1000188,available,Generated benchmark asset in serviceable condition.,2023-03-04T00:00:00
1000189,Microphone,DG025,DG-DG025-1000189,available,Generated benchmark asset in serviceable condition.,2021-05-12T00:00:00
1000190,Livestreaming equipment,DG025,DG-DG025-1000190,available,Generated benchmark asset in serviceable condition.,2021-07-31T00:00:00
1000191,Air conditioner,DG025,DG-DG025-1000191,available,Generated benchmark asset in serviceable condition.,2022-03-01T00:00:00
1000192,Whiteboard,DG025,DG-DG025-1000192,available,Generated benchmark asset in serviceable condition.,2022-12-08T00:00:00
1000193,Projector,DG026,DG-DG026-1000193,available,Generated benchmark asset in serviceable condition.,2023-02-26T00:00:00
1000194,Whiteboard,DG026,DG-DG026-1000194,available,Generated benchmark asset in serviceable condition.,2021-05-27T00:00:00
1000195,Air conditioner,DG026,DG-DG026-1000195,available,Generated benchmark asset in serviceable condition.,2021-05-30T00:00:00
1000196,Microphone,DG026,DG-DG026-1000196,available,Generated benchmark asset in serviceable condition.,2021-11-22T00:00:00
1000197,Computer,DG026,DG-DG026-1000197,available,Generated benchmark asset in serviceable condition.,2021-07-01T00:00:00
1000198,Computer,DG027,DG-DG027-1000198,available,Generated benchmark asset in serviceable condition.,2022-01-10T00:00:00
1000199,Computer,DG027,DG-DG027-1000199,available,Generated benchmark asset in serviceable condition.,2021-04-04T00:00:00
1000200,Computer,DG027,DG-DG027-1000200,available,Generated benchmark asset in serviceable condition.,2021-11-16T00:00:00
1000201,Computer,DG027,DG-DG027-1000201,available,Generated benchmark asset in serviceable condition.,2022-06-03T00:00:00
1000202,Computer,DG027,DG-DG027-1000202,available,Generated benchmark asset in serviceable condition.,2023-01-10T00:00:00
1000203,Computer,DG027,DG-DG027-1000203,available,Generated benchmark asset in serviceable condition.,2021-02-23T00:00:00
1000204,Computer,DG027,DG-DG027-1000204,available,Generated benchmark asset in serviceable condition.,2022-01-22T00:00:00
1000205,Computer,DG027,DG-DG027-1000205,available,Generated benchmark asset in serviceable condition.,2023-03-16T00:00:00
1000206,Computer,DG027,DG-DG027-1000206,available,Generated benchmark asset in serviceable condition.,2021-05-20T00:00:00
1000207,Computer,DG027,DG-DG027-1000207,available,Generated benchmark asset in serviceable condition.,2022-11-12T00:00:00
1000208,Computer,DG027,DG-DG027-1000208,available,Generated benchmark asset in serviceable condition.,2022-11-23T00:00:00
1000209,Computer,DG027,DG-DG027-1000209,available,Generated benchmark asset in serviceable condition.,2022-11-06T00:00:00
1000210,Computer,DG027,DG-DG027-1000210,available,Generated benchmark asset in serviceable condition.,2022-04-24T00:00:00
1000211,Computer,DG027,DG-DG027-1000211,available,Generated benchmark asset in serviceable condition.,2023-06-20T00:00:00
1000212,Projector,DG027,DG-DG027-1000212,available,Generated benchmark asset in serviceable condition.,2022-01-10T00:00:00
1000213,Air conditioner,DG027,DG-DG027-1000213,available,Generated benchmark asset in serviceable condition.,2021-12-02T00:00:00
1000214,Computer,DG028,DG-DG028-1000214,available,Generated benchmark asset in serviceable condition.,2021-03-04T00:00:00
1000215,Computer,DG028,DG-DG028-1000215,available,Generated benchmark asset in serviceable condition.,2021-05-08T00:00:00
1000216,Computer,DG028,DG-DG028-1000216,available,Generated benchmark asset in serviceable condition.,2022-04-12T00:00:00
1000217,Computer,DG028,DG-DG028-1000217,available,Generated benchmark asset in serviceable condition.,2023-01-25T00:00:00
1000218,Computer,DG028,DG-DG028-1000218,available,Generated benchmark asset in serviceable condition.,2022-04-22T00:00:00
1000219,Computer,DG028,DG-DG028-1000219,available,Generated benchmark asset in serviceable condition.,2022-12-22T00:00:00
1000220,Computer,DG028,DG-DG028-1000220,available,Generated benchmark asset in serviceable condition.,2022-11-02T00:00:00
1000221,Computer,DG028,DG-DG028-1000221,available,Generated benchmark asset in serviceable condition.,2023-04-17T00:00:00
1000222,Computer,DG028,DG-DG028-1000222,available,Generated benchmark asset in serviceable condition.,2023-03-14T00:00:00
1000223,Whiteboard,DG028,DG-DG028-1000223,available,Generated benchmark asset in serviceable condition.,2021-12-18T00:00:00
1000224,Air conditioner,DG028,DG-DG028-1000224,available,Generated benchmark asset in serviceable condition.,2022-10-23T00:00:00
1000225,TV screen,DG028,DG-DG028-1000225,available,Generated benchmark asset in serviceable condition.,2022-12-12T00:00:00
1000226,TV screen,DG029,DG-DG029-1000226,available,Generated benchmark asset in serviceable condition.,2022-06-20T00:00:00
1000227,Whiteboard,DG029,DG-DG029-1000227,available,Generated benchmark asset in serviceable condition.,2022-09-02T00:00:00
1000228,Air conditioner,DG029,DG-DG029-1000228,available,Generated benchmark asset in serviceable condition.,2023-03-28T00:00:00
1000229,Computer,DG029,DG-DG029-1000229,available,Generated benchmark asset in serviceable condition.,2022-09-23T00:00:00
1000230,Whiteboard,DG030,DG-DG030-1000230,available,Generated benchmark asset in serviceable condition.,2022-08-30T00:00:00
1000231,Air conditioner,DG030,DG-DG030-1000231,available,Generated benchmark asset in serviceable condition.,2022-03-20T00:00:00
1000232,Projector,DG030,DG-DG030-1000232,available,Generated benchmark asset in serviceable condition.,2022-01-23T00:00:00
1000233,Computer,DG030,DG-DG030-1000233,available,Generated benchmark asset in serviceable condition.,2021-06-01T00:00:00
1000234,Projector,DG031,DG-DG031-1000234,available,Generated benchmark asset in serviceable condition.,2022-11-25T00:00:00
1000235,Microphone,DG031,DG-DG031-1000235,available,Generated benchmark asset in serviceable condition.,2022-07-13T00:00:00
1000236,Microphone,DG031,DG-DG031-1000236,available,Generated benchmark asset in serviceable condition.,2022-05-12T00:00:00
1000237,Microphone,DG031,DG-DG031-1000237,available,Generated benchmark asset in serviceable condition.,2021-06-28T00:00:00
1000238,Livestreaming equipment,DG031,DG-DG031-1000238,available,Generated benchmark asset in serviceable condition.,2022-01-17T00:00:00
1000239,Air conditioner,DG031,DG-DG031-1000239,available,Generated benchmark asset in serviceable condition.,2022-09-25T00:00:00
1000240,Projector,DG032,DG-DG032-1000240,available,Generated benchmark asset in serviceable condition.,2022-03-25T00:00:00
1000241,Whiteboard,DG032,DG-DG032-1000241,available,Generated benchmark asset in serviceable condition.,2021-03-01T00:00:00
1000242,Air conditioner,DG032,DG-DG032-1000242,available,Generated benchmark asset in serviceable condition.,2022-04-21T00:00:00
1000243,Computer,DG033,DG-DG033-1000243,available,Generated benchmark asset in serviceable condition.,2021-11-06T00:00:00
