maintenance_id,changed_by,escalated_at,new_impact_level,change_reason
1000548,DGFS0001,2024-07-19T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000549,DGFS0001,2024-08-19T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000550,DGFS0001,2024-07-29T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000551,DGFS0001,2023-02-11T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000552,DGFS0001,2025-08-11T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000553,DGFS0001,2025-05-05T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000554,DGFS0001,2023-07-31T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000555,DGFS0001,2022-09-19T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000556,DGFS0001,2024-09-22T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000557,DGFS0001,2024-05-14T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000558,DGFS0001,2022-09-16T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000559,DGFS0001,2023-01-11T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000560,DGFS0001,2023-08-12T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000561,DGFS0001,2022-12-02T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000562,DGFS0001,2022-12-16T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000563,DGFS0001,2023-10-04T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000564,DGFS0001,2023-02-18T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000565,DGFS0001,2024-05-11T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000566,DGFS0001,2024-04-25T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000567,DGFS0001,2022-10-08T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000568,DGFS0001,2023-05-05T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000569,DGFS0001,2024-04-02T15:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000570,DGFS0001,2025-03-02T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000571,DGFS0001,2023-09-27T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000572,DGFS0001,2024-04-22T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000573,DGFS0001,2024-11-26T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000574,DGFS0001,2024-06-06T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000575,DGFS0001,2022-09-14T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000576,DGFS0001,2025-04-08T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000577,DGFS0001,2023-08-24T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000578,DGFS0001,2024-11-28T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000579,DGFS0001,2024-07-21T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000580,DGFS0001,2024-08-18T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000581,DGFS0001,2022-11-09T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000582,DGFS0001,2022-12-03T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000583,DGFS0001,2024-11-23T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000584,DGFS0001,2025-03-13T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000585,DGFS0001,2025-03-22T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000586,DGFS0001,2025-07-21T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000587,DGFS0001,2023-07-22T15:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000588,DGFS0001,2024-01-31T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000589,DGFS0001,2023-03-17T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000590,DGFS0001,2022-09-25T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000591,DGFS0001,2023-07-17T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000592,DGFS0001,2024-01-09T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000593,DGFS0001,2025-01-03T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000594,DGFS0001,2025-03-16T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000595,DGFS0001,2024-01-31T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000596,DGFS0001,2022-12-30T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000597,DGFS0001,2023-07-27T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000598,DGFS0001,2024-09-30T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000599,DGFS0001,2024-09-23T15:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
