booking_id,requester_id,space_code,requested_start_time,requested_end_time,purpose_of_use,expected_participants,final_booking_status,created_at
1000024,DGU0238,DG040,2025-03-05T10:30:00,2025-03-05T11:30:00,workshop,29,pending,2025-02-11T07:46:00
1000025,DGTA0008,DG024,2025-05-11T16:30:00,2025-05-11T18:00:00,student activity,7,rejected,2025-04-20T08:48:00
1000026,DGU0257,DG016,2024-10-17T13:30:00,2024-10-17T14:30:00,administrative event,6,cancelled,2024-09-17T08:49:00
1000027,DGU0048,DG005,2022-12-09T16:00:00,2022-12-09T18:00:00,administrative event,13,completed,2022-11-12T14:33:00
1000028,DGU0095,DG050,2024-08-05T11:00:00,2024-08-05T13:00:00,lecture,37,completed,2024-06-20T05:50:00
1000029,DGU0363,DG027,2024-11-16T10:00:00,2024-11-16T11:00:00,student activity,44,no-show,2024-09-29T01:48:00
1000030,DGU0235,DG048,2024-09-03T15:00:00,2024-09-03T16:00:00,seminar,38,approved,2024-07-07T11:23:00
1000031,DGU0170,DG058,2025-02-02T13:00:00,2025-02-02T14:00:00,meeting,30,completed,2024-12-24T10:30:00
1000032,DGU0166,DG050,2025-01-24T10:00:00,2025-01-24T11:00:00,meeting,16,completed,2024-12-26T06:40:00
1000033,DGU0254,DG018,2023-01-16T11:30:00,2023-01-16T12:30:00,administrative event,18,rejected,2022-11-20T04:00:00
1000034,DGU0126,DG058,2023-01-30T12:00:00,2023-01-30T13:00:00,meeting,32,rejected,2022-12-02T05:34:00
1000035,DGU0295,DG007,2024-02-17T11:00:00,2024-02-17T12:00:00,workshop,71,approved,2024-02-11T05:46:00
1000036,DGU0212,DG038,2025-07-15T08:00:00,2025-07-15T10:00:00,lecture,40,completed,2025-05-18T06:23:00
1000037,DGU0350,DG040,2023-02-24T12:00:00,2023-02-24T13:30:00,meeting,34,pending,2023-01-13T04:16:00
1000038,DGU0010,DG041,2023-03-24T08:00:00,2023-03-24T09:00:00,seminar,17,completed,2023-03-08T23:43:00
1000039,DGTA0013,DG016,2023-08-06T12:00:00,2023-08-06T13:00:00,examination,18,rejected,2023-07-01T09:03:00
1000040,DGU0069,DG027,2023-11-03T09:00:00,2023-11-03T11:00:00,examination,52,approved,2023-10-01T04:50:00
1000041,DGU0078,DG003,2023-10-09T08:00:00,2023-10-09T10:00:00,student activity,36,pending,2023-09-10T22:04:00
1000042,DGU0216,DG020,2023-01-21T09:30:00,2023-01-21T11:30:00,lecture,12,cancelled,2022-11-22T02:22:00
1000043,DGU0247,DG032,2025-05-09T14:30:00,2025-05-09T16:30:00,seminar,16,cancelled,2025-05-07T13:44:00
1000044,DGU0344,DG023,2025-01-13T10:00:00,2025-01-13T11:00:00,meeting,6,completed,2025-01-06T00:53:00
1000045,DGU0121,DG018,2022-11-22T08:00:00,2022-11-22T09:00:00,student activity,3,cancelled,2022-11-18T03:31:00
1000046,DGU0371,DG020,2023-08-09T16:00:00,2023-08-09T17:30:00,lecture,27,cancelled,2023-06-12T07:27:00
1000047,DGU0019,DG029,2022-12-23T17:00:00,2022-12-23T18:00:00,examination,9,approved,2022-12-01T12:31:00
1000048,DGU0207,DG009,2023-09-22T12:00:00,2023-09-22T13:00:00,examination,32,completed,2023-09-04T06:12:00
1000049,DGU0200,DG034,2024-10-06T08:30:00,2024-10-06T09:30:00,student activity,34,pending,2024-08-28T23:15:00
1000050,DGU0252,DG039,2024-05-21T08:30:00,2024-05-21T10:00:00,lecture,14,cancelled,2024-04-10T05:51:00
1000051,DGU0080,DG057,2025-07-09T08:00:00,2025-07-09T10:00:00,examination,55,completed,2025-06-21T03:48:00
1000052,DGU0028,DG023,2024-05-26T08:30:00,2024-05-26T09:30:00,meeting,3,cancelled,2024-05-02T03:48:00
1000053,DGU0105,DG050,2023-08-27T15:00:00,2023-08-27T16:00:00,seminar,21,rejected,2023-06-30T06:24:00
1000054,DGU0053,DG048,2023-03-14T09:30:00,2023-03-14T10:30:00,student activity,35,rejected,2023-01-13T01:52:00
1000055,DGTA0025,DG008,2025-06-27T16:00:00,2025-06-27T18:00:00,examination,12,completed,2025-06-11T14:00:00
1000056,DGU0085,DG043,2023-03-27T10:30:00,2023-03-27T11:30:00,workshop,201,pending,2023-03-04T06:49:00
1000057,DGU0147,DG051,2023-10-04T14:00:00,2023-10-04T15:00:00,student activity,13,completed,2023-09-13T04:59:00
1000058,DGU0025,DG053,2023-01-04T10:00:00,2023-01-04T11:00:00,seminar,8,completed,2022-11-07T04:12:00
1000059,DGU0229,DG023,2024-12-15T11:00:00,2024-12-15T13:00:00,student activity,3,completed,2024-11-10T03:06:00
1000060,DGU0063,DG021,2024-03-16T08:30:00,2024-03-16T09:30:00,student activity,25,cancelled,2024-03-08T06:48:00
1000061,DGU0140,DG013,2025-07-30T08:30:00,2025-07-30T09:30:00,examination,173,cancelled,2025-07-07T07:30:00
1000062,DGU0297,DG014,2025-06-30T09:00:00,2025-06-30T10:00:00,lecture,24,completed,2025-06-05T05:35:00
1000063,DGU0276,DG004,2023-05-06T09:30:00,2023-05-06T10:30:00,workshop,14,pending,2023-03-28T03:30:00
1000064,DGU0209,DG031,2024-07-14T15:00:00,2024-07-14T17:00:00,examination,196,completed,2024-06-21T08:56:00
1000065,DGU0207,DG059,2024-03-16T14:00:00,2024-03-16T15:00:00,meeting,21,rejected,2024-03-11T08:06:00
1000066,DGL0006,DG039,2023-12-03T16:00:00,2023-12-03T17:30:00,lecture,27,cancelled,2023-11-29T12:57:00
1000067,DGU0091,DG046,2023-10-16T09:00:00,2023-10-16T10:00:00,meeting,24,completed,2023-09-03T00:53:00
1000068,DGTA0019,DG004,2022-10-13T08:30:00,2022-10-13T10:30:00,meeting,14,pending,2022-08-16T04:10:00
1000069,DGU0058,DG049,2023-06-27T10:30:00,2023-06-27T11:30:00,workshop,107,cancelled,2023-05-14T10:09:00
1000070,DGU0229,DG019,2023-08-25T10:00:00,2023-08-25T13:00:00,administrative event,119,completed,2023-07-15T05:18:00
1000071,DGU0038,DG050,2023-03-07T09:00:00,2023-03-07T10:00:00,seminar,32,completed,2023-01-19T02:59:00
1000072,DGU0003,DG040,2024-08-21T14:30:00,2024-08-21T15:30:00,meeting,12,rejected,2024-07-18T11:21:00
1000073,DGU0044,DG050,2025-04-02T16:00:00,2025-04-02T17:00:00,lecture,32,cancelled,2025-03-08T10:01:00
1000074,DGU0288,DG046,2022-10-06T11:30:00,2022-10-06T12:30:00,student activity,31,pending,2022-08-15T03:14:00
1000075,DGU0183,DG009,2023-08-27T10:00:00,2023-08-27T13:00:00,seminar,21,completed,2023-07-15T08:41:00
1000076,DGU0079,DG023,2025-08-10T13:00:00,2025-08-10T15:00:00,seminar,13,completed,2025-07-11T05:20:00
1000077,DGU0150,DG052,2024-05-18T16:30:00,2024-05-18T17:30:00,meeting,15,cancelled,2024-03-23T11:26:00
1000078,DGU0015,DG050,2024-08-07T14:00:00,2024-08-07T15:30:00,seminar,12,rejected,2024-07-19T04:13:00
1000079,DGU0190,DG038,2025-02-20T11:00:00,2025-02-20T12:00:00,seminar,14,cancelled,2025-01-24T04:11:00
1000080,DGU0273,DG002,2023-09-28T17:00:00,2023-09-28T18:00:00,examination,8,completed,2023-09-22T14:46:00
1000081,DGU0132,DG051,2025-04-17T14:00:00,2025-04-17T15:30:00,examination,16,rejected,2025-02-21T09:10:00
1000082,DGU0360,DG046,2022-12-01T17:00:00,2022-12-01T18:00:00,student activity,26,approved,2022-10-21T08:38:00
1000083,DGU0256,DG024,2024-09-01T10:00:00,2024-09-01T13:00:00,workshop,18,completed,2024-08-07T06:40:00
1000084,DGL0025,DG015,2024-11-15T15:00:00,2024-11-15T16:00:00,student activity,27,completed,2024-10-22T05:29:00
1000085,DGU0037,DG040,2023-08-07T14:30:00,2023-08-07T15:30:00,meeting,18,pending,2023-06-19T04:40:00
1000086,DGU0397,DG060,2022-12-20T11:00:00,2022-12-20T12:30:00,meeting,34,pending,2022-12-14T09:02:00
1000087,DGU0023,DG019,2024-02-24T14:00:00,2024-02-24T15:00:00,examination,66,completed,2024-02-22T09:11:00
1000088,DGU0163,DG021,2023-02-24T14:00:00,2023-02-24T16:00:00,student activity,34,cancelled,2023-01-21T12:56:00
1000089,DGU0009,DG038,2023-10-12T17:00:00,2023-10-12T18:00:00,lecture,36,completed,2023-09-12T11:08:00
1000090,DGTA0024,DG039,2024-03-19T17:00:00,2024-03-19T18:00:00,lecture,17,completed,2024-02-10T12:37:00
1000091,DGU0223,DG038,2023-03-05T10:00:00,2023-03-05T11:00:00,seminar,44,completed,2023-02-14T03:44:00
1000092,DGU0051,DG010,2023-11-05T14:00:00,2023-11-05T15:00:00,meeting,6,completed,2023-09-10T09:16:00
1000093,DGU0195,DG056,2025-01-09T14:00:00,2025-01-09T16:00:00,seminar,40,pending,2024-11-25T05:23:00
1000094,DGU0352,DG012,2023-11-11T13:00:00,2023-11-11T14:00:00,meeting,3,completed,2023-10-12T06:38:00
1000095,DGU0115,DG050,2024-03-02T13:00:00,2024-03-02T15:00:00,examination,28,pending,2024-02-08T05:26:00
1000096,DGU0005,DG047,2024-05-18T14:30:00,2024-05-18T15:30:00,administrative event,3,pending,2024-04-05T05:09:00
1000097,DGU0189,DG029,2024-12-17T15:00:00,2024-12-17T16:00:00,meeting,18,completed,2024-12-05T13:45:00
1000098,DGU0255,DG051,2022-09-16T11:00:00,2022-09-16T13:00:00,student activity,27,completed,2022-09-05T01:18:00
1000099,DGU0363,DG058,2025-03-04T09:30:00,2025-03-04T10:30:00,workshop,16,cancelled,2025-02-11T04:35:00
1000100,DGU0240,DG010,2023-06-15T11:30:00,2023-06-15T13:30:00,student activity,2,rejected,2023-05-12T05:37:00
1000101,DGTA0020,DG008,2024-04-14T15:00:00,2024-04-14T18:00:00,seminar,8,approved,2024-04-06T13:12:00
1000102,DGU0143,DG040,2023-11-03T11:30:00,2023-11-03T13:00:00,meeting,9,cancelled,2023-09-26T02:29:00
1000103,DGU0023,DG024,2024-04-22T09:00:00,2024-04-22T10:00:00,workshop,32,completed,2024-03-10T04:19:00
1000104,DGU0316,DG026,2024-03-04T15:00:00,2024-03-04T16:30:00,seminar,23,pending,2024-02-10T11:29:00
1000105,DGU0246,DG043,2024-09-08T13:00:00,2024-09-08T15:00:00,student activity,255,completed,2024-07-21T08:52:00
1000106,DGU0306,DG057,2023-08-31T11:00:00,2023-08-31T12:00:00,examination,46,completed,2023-08-04T01:09:00
1000107,DGU0223,DG057,2022-10-09T11:00:00,2022-10-09T13:00:00,examination,34,completed,2022-08-20T07:14:00
1000108,DGL0018,DG060,2022-12-16T16:00:00,2022-12-16T18:00:00,meeting,45,completed,2022-10-22T12:08:00
1000109,DGU0023,DG007,2024-04-30T13:00:00,2024-04-30T14:00:00,administrative event,107,completed,2024-04-09T11:49:00
1000110,DGL0015,DG007,2023-01-15T11:30:00,2023-01-15T12:30:00,examination,141,rejected,2022-11-19T04:16:00
1000111,DGU0223,DG048,2023-08-31T11:00:00,2023-08-31T12:00:00,workshop,27,completed,2023-08-22T07:42:00
1000112,DGU0080,DG010,2023-08-08T12:00:00,2023-08-08T14:00:00,student activity,2,completed,2023-07-05T09:25:00
1000113,DGU0290,DG027,2025-08-01T08:00:00,2025-08-01T09:00:00,examination,21,approved,2025-07-04T02:45:00
1000114,DGU0349,DG006,2023-09-20T15:00:00,2023-09-20T16:30:00,student activity,26,pending,2023-08-27T12:08:00
1000115,DGU0188,DG040,2025-01-13T10:30:00,2025-01-13T11:30:00,student activity,17,pending,2024-12-17T07:34:00
1000116,DGL0023,DG045,2022-11-17T16:00:00,2022-11-17T17:00:00,examination,35,completed,2022-10-13T10:06:00
1000117,DGU0282,DG006,2023-11-22T11:00:00,2023-11-22T12:00:00,workshop,42,completed,2023-10-08T08:22:00
1000118,DGL0003,DG044,2025-04-05T12:00:00,2025-04-05T13:00:00,seminar,41,pending,2025-04-03T10:52:00
1000119,DGU0090,DG013,2023-08-10T08:00:00,2023-08-10T11:00:00,administrative event,94,completed,2023-07-04T22:17:00
1000120,DGU0217,DG003,2023-09-16T11:00:00,2023-09-16T14:00:00,student activity,17,approved,2023-08-13T06:57:00
1000121,DGU0214,DG014,2024-03-17T12:00:00,2024-03-17T14:00:00,seminar,27,pending,2024-01-22T08:16:00
1000122,DGU0119,DG036,2023-06-19T11:00:00,2023-06-19T12:00:00,workshop,33,pending,2023-05-16T04:11:00
1000123,DGU0255,DG035,2023-05-03T13:30:00,2023-05-03T15:30:00,seminar,1,cancelled,2023-04-20T04:22:00
1000124,DGU0245,DG038,2025-07-27T09:00:00,2025-07-27T10:00:00,lecture,10,cancelled,2025-06-21T06:31:00
1000125,DGU0194,DG036,2023-12-21T12:00:00,2023-12-21T13:00:00,meeting,11,no-show,2023-11-19T10:33:00
1000126,DGU0173,DG056,2023-12-20T14:00:00,2023-12-20T15:00:00,student activity,8,approved,2023-12-16T13:56:00
1000127,DGU0014,DG011,2023-02-23T17:00:00,2023-02-23T18:00:00,meeting,5,approved,2023-02-18T10:26:00
1000128,DGU0157,DG010,2022-10-16T09:00:00,2022-10-16T10:00:00,student activity,7,completed,2022-09-16T00:10:00
1000129,DGU0246,DG014,2023-07-19T08:00:00,2023-07-19T09:00:00,seminar,11,pending,2023-06-27T01:47:00
1000130,DGU0041,DG044,2024-08-08T11:00:00,2024-08-08T12:00:00,lecture,10,cancelled,2024-07-05T08:53:00
1000131,DGU0264,DG021,2023-11-16T14:00:00,2023-11-16T16:00:00,lecture,6,completed,2023-09-29T10:13:00
1000132,DGU0094,DG058,2024-10-27T13:00:00,2024-10-27T14:30:00,meeting,29,cancelled,2024-09-15T10:39:00
1000133,DGU0222,DG002,2022-10-01T13:00:00,2022-10-01T14:00:00,examination,33,completed,2022-09-22T10:22:00
1000134,DGU0210,DG051,2023-08-08T08:00:00,2023-08-08T11:00:00,lecture,30,completed,2023-07-28T00:28:00
1000135,DGU0159,DG010,2024-08-27T11:30:00,2024-08-27T13:00:00,student activity,8,rejected,2024-07-23T09:16:00
1000136,DGL0023,DG032,2024-04-24T11:00:00,2024-04-24T12:00:00,seminar,10,completed,2024-03-16T10:30:00
1000137,DGU0333,DG026,2025-02-03T09:30:00,2025-02-03T11:00:00,seminar,21,pending,2024-12-08T03:41:00
1000138,DGU0316,DG032,2023-09-24T09:00:00,2023-09-24T10:00:00,seminar,50,pending,2023-08-10T00:45:00
1000139,DGTA0017,DG004,2025-01-26T14:00:00,2025-01-26T15:00:00,workshop,13,completed,2024-12-17T04:49:00
1000140,DGU0025,DG049,2024-11-04T13:00:00,2024-11-04T14:00:00,seminar,92,completed,2024-09-19T12:27:00
1000141,DGU0154,DG049,2023-05-25T10:30:00,2023-05-25T11:30:00,administrative event,77,pending,2023-05-22T05:02:00
1000142,DGU0383,DG054,2025-05-21T08:00:00,2025-05-21T11:00:00,workshop,14,approved,2025-04-13T06:38:00
1000143,DGU0296,DG009,2024-12-13T15:00:00,2024-12-13T16:00:00,lecture,12,cancelled,2024-10-16T09:30:00
1000144,DGU0038,DG050,2022-12-27T16:00:00,2022-12-27T18:00:00,lecture,9,completed,2022-12-16T08:15:00
1000145,DGU0247,DG010,2024-11-14T11:00:00,2024-11-14T12:00:00,workshop,14,completed,2024-10-09T04:20:00
1000146,DGU0151,DG005,2025-05-18T15:00:00,2025-05-18T16:00:00,workshop,9,completed,2025-04-28T10:45:00
1000147,DGU0131,DG048,2023-03-08T08:00:00,2023-03-08T11:00:00,meeting,44,completed,2023-02-17T01:25:00
1000148,DGU0028,DG060,2024-06-10T11:00:00,2024-06-10T13:00:00,workshop,43,completed,2024-05-07T08:18:00
1000149,DGU0051,DG004,2024-11-24T08:00:00,2024-11-24T09:00:00,administrative event,4,completed,2024-11-20T06:08:00
1000150,DGU0331,DG037,2023-01-04T11:00:00,2023-01-04T12:00:00,seminar,49,completed,2022-11-26T09:07:00
1000151,DGU0263,DG021,2025-05-24T10:00:00,2025-05-24T11:00:00,lecture,34,completed,2025-05-10T08:40:00
1000152,DGU0166,DG008,2024-12-16T15:30:00,2024-12-16T16:30:00,lecture,15,cancelled,2024-11-27T14:56:00
1000153,DGU0011,DG029,2023-03-08T15:30:00,2023-03-08T17:30:00,seminar,20,rejected,2023-02-04T11:38:00
1000154,DGU0207,DG014,2024-11-11T15:00:00,2024-11-11T16:00:00,seminar,42,completed,2024-09-12T05:30:00
1000155,DGU0038,DG018,2024-09-09T08:00:00,2024-09-09T09:00:00,seminar,11,completed,2024-08-11T06:19:00
1000156,DGU0190,DG022,2022-12-22T14:00:00,2022-12-22T15:00:00,student activity,14,completed,2022-11-10T05:45:00
1000157,DGU0041,DG050,2025-02-24T12:00:00,2025-02-24T13:00:00,lecture,7,completed,2025-01-01T06:28:00
1000158,DGU0149,DG046,2024-05-26T14:00:00,2024-05-26T16:00:00,meeting,32,completed,2024-04-03T06:36:00
1000159,DGU0111,DG041,2023-08-12T14:00:00,2023-08-12T16:00:00,administrative event,19,completed,2023-07-24T06:32:00
1000160,DGU0083,DG018,2024-12-10T11:00:00,2024-12-10T12:00:00,lecture,9,approved,2024-10-11T05:50:00
1000161,DGU0310,DG051,2025-01-11T14:00:00,2025-01-11T15:00:00,student activity,40,approved,2024-12-01T05:21:00
1000162,DGU0195,DG026,2024-10-12T09:00:00,2024-10-12T10:00:00,seminar,28,completed,2024-10-06T08:29:00
1000163,DGU0240,DG001,2025-08-29T17:00:00,2025-08-29T18:00:00,seminar,39,approved,2025-07-18T14:58:00
1000164,DGU0026,DG007,2025-02-11T13:00:00,2025-02-11T15:00:00,seminar,45,completed,2025-01-28T09:36:00
1000165,DGU0223,DG041,2024-05-13T14:00:00,2024-05-13T15:00:00,meeting,21,completed,2024-04-03T11:55:00
1000166,DGU0128,DG011,2025-02-15T15:00:00,2025-02-15T18:00:00,seminar,5,completed,2024-12-31T15:00:00
1000167,DGU0116,DG020,2022-11-25T15:00:00,2022-11-25T16:00:00,examination,15,approved,2022-10-24T09:23:00
1000168,DGU0213,DG055,2024-06-13T15:30:00,2024-06-13T17:30:00,seminar,32,cancelled,2024-05-11T08:37:00
1000169,DGL0025,DG032,2025-06-02T13:00:00,2025-06-02T16:00:00,lecture,51,completed,2025-05-27T12:28:00
1000170,DGU0012,DG034,2025-02-25T16:00:00,2025-02-25T18:00:00,meeting,8,completed,2025-02-02T09:35:00
1000171,DGU0361,DG018,2024-06-13T09:00:00,2024-06-13T12:00:00,workshop,15,approved,2024-05-28T01:54:00
1000172,DGU0321,DG040,2025-08-19T14:00:00,2025-08-19T15:30:00,student activity,11,pending,2025-07-21T12:58:00
1000173,DGU0247,DG060,2024-11-30T08:00:00,2024-11-30T09:00:00,meeting,20,completed,2024-10-16T03:42:00
1000174,DGU0301,DG021,2024-09-14T16:00:00,2024-09-14T17:00:00,examination,14,approved,2024-07-29T12:33:00
1000175,DGU0159,DG016,2025-07-09T12:00:00,2025-07-09T13:00:00,workshop,15,cancelled,2025-06-03T11:22:00
1000176,DGU0160,DG037,2022-10-17T14:00:00,2022-10-17T15:00:00,administrative event,85,approved,2022-09-30T05:46:00
1000177,DGU0270,DG041,2023-09-08T17:00:00,2023-09-08T18:00:00,administrative event,21,completed,2023-07-15T13:53:00
1000178,DGU0382,DG003,2025-08-17T08:00:00,2025-08-17T10:00:00,examination,27,completed,2025-07-28T01:19:00
1000179,DGL0018,DG031,2024-02-21T08:00:00,2024-02-21T09:00:00,administrative event,88,approved,2024-02-03T02:08:00
1000180,DGL0031,DG042,2024-05-18T11:00:00,2024-05-18T13:00:00,student activity,35,approved,2024-04-01T10:29:00
1000181,DGU0166,DG059,2023-01-21T16:30:00,2023-01-21T18:00:00,workshop,13,pending,2022-11-27T11:55:00
1000182,DGU0217,DG035,2023-07-16T10:30:00,2023-07-16T12:30:00,administrative event,3,pending,2023-06-23T07:48:00
1000183,DGU0110,DG048,2024-04-27T12:00:00,2024-04-27T13:00:00,meeting,38,completed,2024-04-04T05:43:00
1000184,DGU0041,DG050,2025-08-07T15:00:00,2025-08-07T17:00:00,lecture,37,completed,2025-06-08T06:56:00
1000185,DGU0007,DG044,2023-06-23T08:00:00,2023-06-23T09:00:00,seminar,22,pending,2023-05-11T00:14:00
1000186,DGU0162,DG021,2023-04-18T09:00:00,2023-04-18T10:00:00,examination,11,completed,2023-04-16T08:12:00
1000187,DGU0323,DG045,2023-01-18T16:00:00,2023-01-18T18:00:00,examination,32,completed,2023-01-16T10:18:00
1000188,DGU0246,DG025,2023-09-15T12:00:00,2023-09-15T13:00:00,workshop,43,no-show,2023-09-04T09:56:00
1000189,DGU0253,DG047,2024-01-07T13:00:00,2024-01-07T14:00:00,lecture,1,cancelled,2023-11-21T07:50:00
1000190,DGU0288,DG034,2022-09-08T11:30:00,2022-09-08T13:30:00,workshop,25,pending,2022-08-09T08:45:00
1000191,DGU0136,DG032,2024-09-01T09:00:00,2024-09-01T10:00:00,lecture,52,approved,2024-07-23T08:07:00
1000192,DGU0324,DG025,2023-02-16T13:00:00,2023-02-16T15:00:00,seminar,119,completed,2023-01-13T06:20:00
1000193,DGU0199,DG059,2023-11-27T16:00:00,2023-11-27T18:00:00,seminar,8,completed,2023-11-05T10:56:00
1000194,DGU0384,DG028,2025-05-25T13:30:00,2025-05-25T14:30:00,workshop,14,pending,2025-05-17T13:17:00
1000195,DGU0136,DG053,2022-10-11T08:00:00,2022-10-11T09:00:00,seminar,3,completed,2022-08-16T23:14:00
1000196,DGU0279,DG042,2023-09-03T13:00:00,2023-09-03T14:00:00,student activity,15,completed,2023-08-21T08:35:00
1000197,DGU0169,DG026,2022-11-12T08:00:00,2022-11-12T09:00:00,lecture,35,completed,2022-11-08T04:43:00
1000198,DGU0167,DG006,2025-07-03T13:00:00,2025-07-03T15:00:00,workshop,43,approved,2025-06-09T12:27:00
1000199,DGU0232,DG019,2023-05-24T13:00:00,2023-05-24T14:00:00,administrative event,109,completed,2023-04-06T05:58:00
1000200,DGU0210,DG010,2024-06-12T16:00:00,2024-06-12T18:00:00,workshop,13,completed,2024-05-24T15:07:00
1000201,DGL0032,DG025,2022-10-11T10:00:00,2022-10-11T11:00:00,workshop,204,approved,2022-09-06T03:12:00
1000202,DGU0361,DG040,2024-07-12T15:30:00,2024-07-12T17:30:00,student activity,23,pending,2024-05-19T10:09:00
1000203,DGU0166,DG038,2022-09-10T16:00:00,2022-09-10T18:00:00,seminar,14,completed,2022-08-25T14:06:00
1000204,DGU0085,DG018,2023-09-01T17:00:00,2023-09-01T18:00:00,workshop,13,approved,2023-08-02T16:39:00
1000205,DGU0181,DG025,2025-04-09T13:00:00,2025-04-09T14:00:00,seminar,67,approved,2025-03-24T05:34:00
1000206,DGU0381,DG052,2023-03-26T16:00:00,2023-03-26T17:00:00,student activity,12,pending,2023-02-02T13:50:00
1000207,DGU0123,DG026,2024-11-10T16:00:00,2024-11-10T18:00:00,workshop,30,approved,2024-09-21T14:33:00
1000208,DGU0251,DG042,2024-03-29T16:30:00,2024-03-29T17:30:00,student activity,16,rejected,2024-03-23T10:34:00
1000209,DGU0058,DG056,2023-07-29T12:00:00,2023-07-29T13:00:00,examination,13,completed,2023-06-09T08:06:00
1000210,DGU0220,DG016,2023-05-03T14:00:00,2023-05-03T15:00:00,meeting,9,completed,2023-04-25T13:58:00
1000211,DGU0191,DG046,2024-10-21T15:00:00,2024-10-21T16:00:00,workshop,10,cancelled,2024-10-11T10:24:00
1000212,DGU0214,DG034,2022-12-18T09:30:00,2022-12-18T10:30:00,meeting,16,rejected,2022-11-26T03:48:00
1000213,DGU0293,DG020,2025-07-20T16:30:00,2025-07-20T18:00:00,lecture,7,rejected,2025-06-21T16:19:00
1000214,DGU0032,DG030,2025-03-30T14:00:00,2025-03-30T16:00:00,meeting,20,approved,2025-03-12T08:24:00
1000215,DGU0070,DG032,2025-07-01T16:00:00,2025-07-01T17:00:00,lecture,58,completed,2025-06-29T15:10:00
1000216,DGU0269,DG015,2025-04-17T15:00:00,2025-04-17T18:00:00,examination,19,completed,2025-04-11T08:19:00
1000217,DGU0073,DG008,2025-03-29T15:00:00,2025-03-29T16:30:00,lecture,11,pending,2025-03-01T14:53:00
1000218,DGU0025,DG031,2023-07-03T13:30:00,2023-07-03T14:30:00,administrative event,67,pending,2023-05-28T07:27:00
1000219,DGU0336,DG002,2024-04-24T12:00:00,2024-04-24T13:00:00,workshop,36,cancelled,2024-03-11T10:03:00
1000220,DGU0012,DG034,2024-10-03T11:00:00,2024-10-03T12:00:00,workshop,20,completed,2024-09-08T09:06:00
1000221,DGU0343,DG058,2024-01-14T16:30:00,2024-01-14T18:00:00,student activity,39,rejected,2023-11-19T11:27:00
