booking_id,staff_id,decision,decision_time,decision_note,rejection_reason,decision_method
1000275,DGFS0021,rejected,2023-06-08T03:39:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000276,DGFS0018,approved,2024-01-21T06:10:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000277,DGFS0003,approved,2025-06-18T17:48:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000279,DGFS0002,approved,2023-09-26T12:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000280,DGFS0016,approved,2024-05-19T03:07:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000281,,approved,2022-12-05T01:31:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000282,DGFS0012,rejected,2023-08-24T02:22:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000284,DGFM0005,approved,2023-08-05T02:47:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000285,DGFS0016,approved,2023-08-31T10:42:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000286,DGFM0001,approved,2023-01-31T12:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000288,DGFS0002,approved,2022-08-26T19:52:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000290,DGFS0001,approved,2025-06-26T12:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000291,DGFS0020,approved,2025-03-11T10:36:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000294,,approved,2023-09-10T00:47:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000295,DGFS0016,approved,2024-03-31T05:36:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000296,DGFS0017,approved,2023-07-15T21:32:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000297,DGFS0015,approved,2024-03-22T13:24:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000298,DGFM0005,approved,2024-05-23T16:02:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000299,DGFS0006,approved,2024-01-17T06:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000300,DGFS0005,rejected,2023-06-23T18:23:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000302,DGFS0023,approved,2025-02-23T04:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000303,DGFS0016,approved,2025-03-08T12:20:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000304,DGFS0010,approved,2024-05-23T12:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000305,DGFS0018,approved,2024-07-23T17:11:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000306,DGFS0003,approved,2025-04-29T23:01:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000307,DGFS0004,approved,2023-06-13T23:25:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000308,DGFS0015,approved,2024-11-19T13:42:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000309,DGFS0008,approved,2023-03-16T08:59:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000310,,approved,2024-02-17T23:21:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000311,DGFM0003,approved,2023-02-11T21:33:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000312,DGFS0009,approved,2024-11-21T20:30:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000314,DGFS0007,rejected,2023-03-22T22:29:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000315,DGFM0004,approved,2025-01-17T09:03:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000316,DGFS0001,approved,2022-08-25T07:26:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000317,DGFS0020,approved,2024-01-10T21:02:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000320,DGFS0021,approved,2023-02-18T03:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000321,,approved,2025-01-27T11:20:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000323,DGFS0011,approved,2024-11-26T19:37:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000325,DGFS0010,approved,2025-01-23T22:07:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000326,DGFM0002,approved,2023-07-25T05:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000328,DGFS0008,approved,2025-02-22T02:31:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000329,DGFM0005,approved,2024-06-10T11:51:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000330,DGFS0023,rejected,2024-05-03T16:35:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000331,DGFS0010,approved,2025-05-18T13:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000334,DGFS0007,rejected,2023-02-14T16:57:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000335,DGFS0005,approved,2024-02-24T10:32:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000336,DGFS0021,approved,2023-08-22T17:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000338,DGFM0003,approved,2023-11-11T05:01:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000339,DGFS0023,approved,2025-04-03T17:29:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000340,DGFS0013,approved,2024-07-17T06:16:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000341,DGFS0001,approved,2024-11-13T20:03:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000342,DGFS0016,approved,2023-02-19T05:58:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000343,DGFS0003,approved,2025-08-10T01:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000344,DGFS0008,rejected,2025-08-15T10:15:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000346,DGFS0006,rejected,2025-03-24T11:20:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000348,DGFS0012,approved,2024-05-12T10:51:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000350,DGFM0002,rejected,2024-06-08T02:11:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000351,DGFS0012,rejected,2025-04-07T19:35:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000353,DGFS0009,approved,2022-09-28T14:47:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000356,DGFM0005,approved,2024-01-04T11:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
