booking_id,actual_start_time,checked_in_by,initial_condition,actual_end_time,final_condition,usage_notes
1000080,2023-09-28T17:08:00,DGFS0005,Generated check-in: room ready for use.,2023-09-28T18:08:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000083,2024-09-01T10:10:00,DGFS0005,Generated check-in: room ready for use.,2024-09-01T13:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000084,2024-11-15T14:57:00,DGFM0004,Generated check-in: room ready for use.,2024-11-15T16:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000087,2024-02-24T13:52:00,DGFS0006,Generated check-in: room ready for use.,2024-02-24T14:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000089,2023-10-12T16:54:00,DGFS0010,Generated check-in: room ready for use.,2023-10-12T18:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000090,2024-03-19T16:52:00,DGFS0020,Generated check-in: room ready for use.,2024-03-19T18:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000091,2023-03-05T09:53:00,DGFS0016,Generated check-in: room ready for use.,2023-03-05T11:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000092,2023-11-05T13:55:00,DGFM0005,Generated check-in: room ready for use.,2023-11-05T14:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000094,2023-11-11T12:53:00,DGFS0024,Generated check-in: room ready for use.,2023-11-11T14:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000097,2024-12-17T14:50:00,DGFS0007,Generated check-in: room ready for use.,2024-12-17T15:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000098,2022-09-16T11:03:00,DGFS0013,Generated check-in: room ready for use.,2022-09-16T13:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000103,2024-04-22T08:56:00,DGFS0018,Generated check-in: room ready for use.,2024-04-22T10:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000105,2024-09-08T13:04:00,DGFS0023,Generated check-in: room ready for use.,2024-09-08T15:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000106,2023-08-31T11:01:00,DGFM0002,Generated check-in: room ready for use.,2023-08-31T12:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000107,2022-10-09T11:10:00,DGFS0016,Generated check-in: room ready for use.,2022-10-09T13:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000108,2022-12-16T15:57:00,DGFS0004,Generated check-in: room ready for use.,2022-12-16T18:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000109,2024-04-30T12:51:00,DGFS0004,Generated check-in: room ready for use.,2024-04-30T14:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000111,2023-08-31T10:58:00,DGFS0019,Generated check-in: room ready for use.,2023-08-31T11:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000112,2023-08-08T12:08:00,DGFS0020,Generated check-in: room ready for use.,2023-08-08T14:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000116,2022-11-17T16:05:00,DGFS0015,Generated check-in: room ready for use.,2022-11-17T17:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000117,2023-11-22T10:51:00,DGFS0012,Generated check-in: room ready for use.,2023-11-22T12:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000119,2023-08-10T08:05:00,DGFS0004,Generated check-in: room ready for use.,2023-08-10T11:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000128,2022-10-16T08:54:00,DGFS0023,Generated check-in: room ready for use.,2022-10-16T10:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000131,2023-11-16T13:53:00,DGFS0007,Generated check-in: room ready for use.,2023-11-16T16:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000133,2022-10-01T13:02:00,DGFS0004,Generated check-in: room ready for use.,2022-10-01T14:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000134,2023-08-08T07:52:00,DGFS0017,Generated check-in: room ready for use.,2023-08-08T11:08:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000136,2024-04-24T10:51:00,DGFS0011,Generated check-in: room ready for use.,2024-04-24T12:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000139,2025-01-26T14:03:00,DGFM0004,Generated check-in: room ready for use.,2025-01-26T14:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000140,2024-11-04T12:50:00,DGFS0011,Generated check-in: room ready for use.,2024-11-04T14:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000144,2022-12-27T15:57:00,DGFS0003,Generated check-in: room ready for use.,2022-12-27T18:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000145,2024-11-14T10:56:00,DGFS0018,Generated check-in: room ready for use.,2024-11-14T11:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000146,2025-05-18T15:09:00,DGFS0011,Generated check-in: room ready for use.,2025-05-18T15:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000147,2023-03-08T07:54:00,DGFM0001,Generated check-in: room ready for use.,2023-03-08T11:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000148,2024-06-10T11:05:00,DGFS0017,Generated check-in: room ready for use.,2024-06-10T13:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000149,2024-11-24T08:02:00,DGFS0021,Generated check-in: room ready for use.,2024-11-24T09:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000150,2023-01-04T10:50:00,DGFS0024,Generated check-in: room ready for use.,2023-01-04T11:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000151,2025-05-24T10:02:00,DGFS0008,Generated check-in: room ready for use.,2025-05-24T11:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000154,2024-11-11T14:51:00,DGFS0019,Generated check-in: room ready for use.,2024-11-11T15:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000155,2024-09-09T08:10:00,DGFS0010,Generated check-in: room ready for use.,2024-09-09T09:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000156,2022-12-22T13:58:00,DGFM0005,Generated check-in: room ready for use.,2022-12-22T15:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000157,2025-02-24T11:55:00,DGFM0001,Generated check-in: room ready for use.,2025-02-24T13:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000158,2024-05-26T14:08:00,DGFS0006,Generated check-in: room ready for use.,2024-05-26T16:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000159,2023-08-12T13:55:00,DGFS0007,Generated check-in: room ready for use.,2023-08-12T16:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000162,2024-10-12T08:59:00,DGFS0001,Generated check-in: room ready for use.,2024-10-12T10:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000164,2025-02-11T12:57:00,DGFS0011,Generated check-in: room ready for use.,2025-02-11T15:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000165,2024-05-13T13:52:00,DGFS0011,Generated check-in: room ready for use.,2024-05-13T15:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000166,2025-02-15T15:04:00,DGFS0024,Generated check-in: room ready for use.,2025-02-15T18:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000169,2025-06-02T12:51:00,DGFS0006,Generated check-in: room ready for use.,2025-06-02T16:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000170,2025-02-25T15:56:00,DGFS0024,Generated check-in: room ready for use.,2025-02-25T18:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000173,2024-11-30T08:07:00,DGFM0003,Generated check-in: room ready for use.,2024-11-30T08:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000177,2023-09-08T17:05:00,DGFS0025,Generated check-in: room ready for use.,2023-09-08T18:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000178,2025-08-17T07:50:00,DGFS0021,Generated check-in: room ready for use.,2025-08-17T09:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000183,2024-04-27T11:52:00,DGFS0024,Generated check-in: room ready for use.,2024-04-27T12:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000184,2025-08-07T15:02:00,DGFS0014,Generated check-in: room ready for use.,2025-08-07T17:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000186,2023-04-18T09:05:00,DGFS0001,Generated check-in: room ready for use.,2023-04-18T10:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000187,2023-01-18T15:50:00,DGFM0004,Generated check-in: room ready for use.,2023-01-18T18:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000192,2023-02-16T13:04:00,DGFS0001,Generated check-in: room ready for use.,2023-02-16T15:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000193,2023-11-27T16:04:00,DGFM0002,Generated check-in: room ready for use.,2023-11-27T17:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000195,2022-10-11T07:59:00,DGFS0020,Generated check-in: room ready for use.,2022-10-11T09:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000196,2023-09-03T13:10:00,DGFM0001,Generated check-in: room ready for use.,2023-09-03T14:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000197,2022-11-12T08:03:00,DGFS0016,Generated check-in: room ready for use.,2022-11-12T09:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000199,2023-05-24T13:05:00,DGFS0011,Generated check-in: room ready for use.,2023-05-24T14:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000200,2024-06-12T16:08:00,DGFS0015,Generated check-in: room ready for use.,2024-06-12T18:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000203,2022-09-10T16:01:00,DGFS0005,Generated check-in: room ready for use.,2022-09-10T18:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000209,2023-07-29T12:03:00,DGFS0023,Generated check-in: room ready for use.,2023-07-29T13:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000210,2023-05-03T13:55:00,DGFM0001,Generated check-in: room ready for use.,2023-05-03T15:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000215,2025-07-01T15:51:00,DGFS0002,Generated check-in: room ready for use.,2025-07-01T16:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000216,2025-04-17T15:05:00,DGFS0010,Generated check-in: room ready for use.,2025-04-17T18:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000220,2024-10-03T11:08:00,DGFS0001,Generated check-in: room ready for use.,2024-10-03T12:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000222,2024-12-05T08:01:00,DGFM0004,Generated check-in: room ready for use.,2024-12-05T10:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000223,2025-07-09T13:54:00,DGFM0001,Generated check-in: room ready for use.,2025-07-09T15:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000224,2024-12-24T16:57:00,DGFM0005,Generated check-in: room ready for use.,2024-12-24T17:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000226,2023-07-13T13:02:00,DGFS0009,Generated check-in: room ready for use.,2023-07-13T14:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000228,2025-04-26T11:01:00,DGFM0002,Generated check-in: room ready for use.,2025-04-26T12:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000232,2023-01-30T12:58:00,DGFS0002,Generated check-in: room ready for use.,2023-01-30T13:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000234,2025-06-15T08:58:00,DGFM0004,Generated check-in: room ready for use.,2025-06-15T10:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000237,2022-12-10T11:09:00,DGFS0020,Generated check-in: room ready for use.,2022-12-10T13:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000242,2024-05-15T08:51:00,DGFS0017,Generated check-in: room ready for use.,2024-05-15T10:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000244,2024-08-17T09:51:00,DGFS0007,Generated check-in: room ready for use.,2024-08-17T11:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000245,2024-11-30T09:10:00,DGFM0003,Generated check-in: room ready for use.,2024-11-30T10:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000249,2024-06-15T14:07:00,DGFS0004,Generated check-in: room ready for use.,2024-06-15T15:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000250,2022-12-03T10:06:00,DGFS0002,Generated check-in: room ready for use.,2022-12-03T10:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000256,2023-12-22T16:50:00,DGFS0013,Generated check-in: room ready for use.,2023-12-22T17:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000259,2023-04-06T10:02:00,DGFS0011,Generated check-in: room ready for use.,2023-04-06T10:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000260,2024-01-16T10:57:00,DGFS0013,Generated check-in: room ready for use.,2024-01-16T12:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000264,2025-07-05T16:58:00,DGFS0008,Generated check-in: room ready for use.,2025-07-05T18:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000265,2025-03-06T12:51:00,DGFS0006,Generated check-in: room ready for use.,2025-03-06T14:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000266,2023-06-16T16:07:00,DGFS0004,Generated check-in: room ready for use.,2023-06-16T17:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000271,2024-09-21T10:53:00,DGFM0005,Generated check-in: room ready for use.,2024-09-21T12:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000276,2024-02-16T16:58:00,DGFS0017,Generated check-in: room ready for use.,2024-02-16T17:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000279,2023-10-02T10:51:00,DGFS0024,Generated check-in: room ready for use.,2023-10-02T13:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000284,2023-09-25T08:53:00,DGFS0014,Generated check-in: room ready for use.,2023-09-25T09:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000286,2023-02-08T15:51:00,DGFM0001,Generated check-in: room ready for use.,2023-02-08T18:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000288,2022-10-12T08:01:00,DGFS0015,Generated check-in: room ready for use.,2022-10-12T10:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000291,2025-04-05T12:09:00,DGFS0016,Generated check-in: room ready for use.,2025-04-05T13:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000294,2023-10-18T08:10:00,DGFS0016,Generated check-in: room ready for use.,2023-10-18T09:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000295,2024-05-06T09:10:00,DGFS0016,Generated check-in: room ready for use.,2024-05-06T09:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000296,2023-07-17T13:56:00,DGFM0003,Generated check-in: room ready for use.,2023-07-17T14:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000297,2024-05-17T11:54:00,DGFS0025,Generated check-in: room ready for use.,2024-05-17T14:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000298,2024-06-04T11:01:00,DGFS0023,Generated check-in: room ready for use.,2024-06-04T13:08:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000302,2025-03-20T08:01:00,DGFS0015,Generated check-in: room ready for use.,2025-03-20T10:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000304,2024-06-04T11:53:00,DGFS0017,Generated check-in: room ready for use.,2024-06-04T13:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000305,2024-09-21T08:10:00,DGFS0011,Generated check-in: room ready for use.,2024-09-21T10:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000308,2025-01-11T16:56:00,DGFS0019,Generated check-in: room ready for use.,2025-01-11T18:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000309,2023-05-10T14:09:00,DGFS0014,Generated check-in: room ready for use.,2023-05-10T16:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000312,2024-12-23T12:03:00,DGFS0023,Generated check-in: room ready for use.,2024-12-23T14:06:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000315,2025-02-10T08:01:00,DGFS0010,Generated check-in: room ready for use.,2025-02-10T09:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000316,2022-10-13T15:09:00,DGFS0001,Generated check-in: room ready for use.,2022-10-13T18:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000320,2023-04-09T16:58:00,DGFS0013,Generated check-in: room ready for use.,2023-04-09T18:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000325,2025-01-31T16:06:00,DGFS0025,Generated check-in: room ready for use.,2025-01-31T16:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000326,2023-08-18T11:03:00,DGFS0005,Generated check-in: room ready for use.,2023-08-18T12:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000328,2025-03-08T08:10:00,DGFS0004,Generated check-in: room ready for use.,2025-03-08T09:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000336,2023-10-06T14:52:00,DGFS0022,Generated check-in: room ready for use.,2023-10-06T18:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000339,2025-05-03T11:54:00,DGFS0014,Generated check-in: room ready for use.,2025-05-03T13:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000342,2023-04-19T12:09:00,DGFS0021,Generated check-in: room ready for use.,2023-04-19T14:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000343,2025-08-23T13:57:00,DGFS0001,Generated check-in: room ready for use.,2025-08-23T15:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000348,2024-06-25T13:09:00,DGFM0005,Generated check-in: room ready for use.,2024-06-25T15:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000353,2022-11-15T09:07:00,DGFS0021,Generated check-in: room ready for use.,2022-11-15T11:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000356,2024-02-05T14:01:00,DGFS0021,Generated check-in: room ready for use.,2024-02-05T15:00:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000360,2024-04-22T09:01:00,DGFS0021,Generated check-in: room ready for use.,2024-04-22T11:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000361,2023-10-19T16:55:00,DGFS0020,Generated check-in: room ready for use.,2023-10-19T18:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000367,2024-10-27T10:05:00,DGFS0007,Generated check-in: room ready for use.,2024-10-27T11:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000370,2023-09-21T13:55:00,DGFS0009,Generated check-in: room ready for use.,2023-09-21T14:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000371,2024-08-07T14:04:00,DGFS0019,Generated check-in: room ready for use.,2024-08-07T14:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000373,2024-12-30T16:55:00,DGFS0013,Generated check-in: room ready for use.,2024-12-30T18:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000375,2025-02-18T09:59:00,DGFM0001,Generated check-in: room ready for use.,2025-02-18T12:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000376,2025-08-18T09:53:00,DGFM0003,Generated check-in: room ready for use.,2025-08-18T11:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000378,2022-09-11T10:03:00,DGFM0003,Generated check-in: room ready for use.,2022-09-11T11:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000379,2024-02-20T15:51:00,DGFS0001,Generated check-in: room ready for use.,2024-02-20T16:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000386,2025-04-19T15:09:00,DGFM0003,Generated check-in: room ready for use.,2025-04-19T15:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000387,2023-01-11T14:01:00,DGFS0012,Generated check-in: room ready for use.,2023-01-11T15:08:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000388,2023-11-29T11:02:00,DGFS0023,Generated check-in: room ready for use.,2023-11-29T12:10:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000389,2024-09-16T10:08:00,DGFS0005,Generated check-in: room ready for use.,2024-09-16T12:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000390,2023-08-25T08:00:00,DGFS0016,Generated check-in: room ready for use.,2023-08-25T08:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000393,2024-02-27T16:06:00,DGFS0003,Generated check-in: room ready for use.,2024-02-27T17:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000394,2024-03-03T13:06:00,DGFS0008,Generated check-in: room ready for use.,2024-03-03T14:09:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000398,2024-01-11T09:05:00,DGFS0002,Generated check-in: room ready for use.,2024-01-11T10:04:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000401,2022-09-01T12:07:00,DGFS0020,Generated check-in: room ready for use.,2022-09-01T14:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000403,2023-06-27T14:50:00,DGFS0009,Generated check-in: room ready for use.,2023-06-27T16:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000405,2025-05-28T11:50:00,DGFS0016,Generated check-in: room ready for use.,2025-05-28T13:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000412,2025-06-23T13:55:00,DGFS0005,Generated check-in: room ready for use.,2025-06-23T15:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000413,2023-06-06T15:04:00,DGFS0001,Generated check-in: room ready for use.,2023-06-06T17:05:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000414,2023-05-22T12:57:00,DGFM0005,Generated check-in: room ready for use.,2023-05-22T14:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000417,2025-01-03T13:02:00,DGFS0009,Generated check-in: room ready for use.,2025-01-03T15:57:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
