maintenance_id,staff_id,assigned_at,unassigned_at,assignment_role
1000055,DGFM0002,2023-02-13T08:19:00,2023-02-13T09:30:00,primary
1000056,DGFS0017,2025-07-06T12:36:00,2025-07-06T15:00:00,primary
1000057,DGFS0009,2025-03-22T10:49:00,2025-03-22T12:00:00,primary
1000058,DGFS0011,2024-03-31T07:35:00,2024-03-31T09:30:00,primary
1000059,DGFS0017,2023-02-27T12:29:00,2023-02-27T14:30:00,primary
1000060,DGFM0005,2024-10-22T15:18:00,2024-10-22T18:30:00,primary
1000061,DGFM0001,2024-11-12T07:35:00,2024-11-12T09:30:00,primary
1000062,DGFS0015,2024-04-27T11:30:00,2024-04-27T13:00:00,primary
1000063,DGFS0022,2024-06-01T08:25:00,2024-06-01T11:30:00,primary
1000064,DGFS0022,2023-11-27T08:53:00,2023-11-27T10:30:00,primary
1000065,DGFS0009,2023-12-19T11:16:00,2023-12-19T12:30:00,primary
1000066,DGFS0004,2023-03-31T15:58:00,2023-03-31T18:00:00,primary
1000067,DGFS0010,2025-07-08T16:27:00,2025-07-08T17:30:00,primary
1000068,DGFS0022,2024-01-06T08:09:00,2024-01-06T10:00:00,primary
1000069,DGFS0017,2025-03-27T11:19:00,2025-03-27T13:00:00,primary
1000070,DGFS0010,2025-06-06T08:35:00,2025-06-06T10:30:00,primary
1000071,DGFM0002,2025-01-09T14:58:00,2025-01-09T16:00:00,primary
1000072,DGFS0013,2023-07-01T11:14:00,2023-07-01T12:30:00,primary
1000073,DGFS0024,2023-04-08T12:06:00,2023-04-08T14:30:00,primary
1000074,DGFS0019,2024-02-09T10:19:00,2024-02-09T13:30:00,primary
1000075,DGFS0019,2024-08-22T12:24:00,2024-08-22T14:30:00,primary
1000076,DGFS0001,2023-04-25T07:58:00,2023-04-25T10:00:00,primary
1000077,DGFS0016,2022-11-03T08:53:00,2022-11-03T10:30:00,primary
1000078,DGFM0001,2025-02-07T13:11:00,2025-02-07T15:30:00,primary
1000079,DGFM0004,2025-08-30T07:46:00,2025-08-30T09:30:00,primary
1000080,DGFS0014,2024-09-18T12:42:00,2024-09-18T14:30:00,primary
1000081,DGFS0003,2022-10-29T10:13:00,2022-10-29T11:30:00,primary
1000082,DGFS0010,2025-05-24T14:43:00,2025-05-24T18:30:00,primary
1000083,DGFS0002,2025-06-17T08:20:00,2025-06-17T09:30:00,primary
1000084,DGFM0002,2025-08-07T15:58:00,2025-08-07T18:00:00,primary
1000085,DGFS0003,2024-08-15T11:53:00,2024-08-15T13:30:00,primary
1000086,DGFS0014,2025-07-08T09:37:00,2025-07-08T11:30:00,primary
1000087,DGFS0021,2025-07-17T07:37:00,2025-07-17T09:30:00,primary
1000088,DGFS0001,2025-03-03T16:23:00,2025-03-03T17:30:00,primary
1000089,DGFS0001,2024-04-13T12:14:00,2024-04-13T13:30:00,primary
1000090,DGFS0023,2024-02-01T13:19:00,2024-02-01T14:30:00,primary
1000091,DGFM0003,2023-12-11T15:10:00,2023-12-11T16:30:00,primary
1000092,DGFS0009,2024-06-24T16:05:00,2024-06-24T18:30:00,primary
1000093,DGFS0007,2024-07-01T07:59:00,2024-07-01T09:30:00,primary
1000094,DGFS0020,2023-08-12T09:32:00,2023-08-12T11:00:00,primary
1000095,DGFS0010,2022-10-10T07:47:00,2022-10-10T10:30:00,primary
1000096,DGFS0023,2023-03-19T11:40:00,2023-03-19T14:30:00,primary
1000097,DGFS0025,2024-07-16T11:01:00,2024-07-16T12:30:00,primary
1000098,DGFM0001,2024-09-24T14:27:00,2024-09-24T16:30:00,primary
1000099,DGFS0019,2022-12-01T13:57:00,2022-12-01T17:30:00,primary
1000100,DGFS0008,2024-06-16T14:43:00,2024-06-16T17:30:00,primary
1000101,DGFS0022,2022-09-13T12:43:00,2022-09-13T14:30:00,primary
1000102,DGFS0005,2025-05-22T16:41:00,2025-05-22T18:30:00,primary
1000103,DGFS0018,2023-01-27T11:08:00,2023-01-27T13:30:00,primary
1000104,DGFS0011,2024-04-29T08:28:00,2024-04-29T09:30:00,primary
1000105,DGFS0023,2025-05-28T10:41:00,2025-05-28T13:30:00,primary
1000106,DGFS0018,2022-09-19T13:11:00,2022-09-19T15:00:00,primary
1000107,DGFS0014,2024-11-21T15:24:00,2024-11-21T16:30:00,primary
1000108,DGFM0004,2022-10-06T14:06:00,2022-10-06T17:30:00,primary
1000109,DGFS0018,2024-08-29T13:33:00,2024-08-29T15:00:00,primary
1000110,DGFS0018,2023-01-15T15:11:00,2023-01-15T17:00:00,primary
1000111,DGFS0013,2023-02-05T10:24:00,2023-02-05T11:30:00,primary
1000112,DGFS0017,2024-02-13T15:27:00,2024-02-13T16:30:00,primary
1000113,DGFS0022,2024-11-20T14:29:00,2024-11-20T16:30:00,primary
1000114,DGFS0021,2023-10-23T11:19:00,2023-10-23T13:30:00,primary
1000115,DGFS0025,2023-09-09T15:41:00,2023-09-09T18:00:00,primary
1000116,DGFS0024,2025-02-26T11:36:00,2025-02-26T14:30:00,primary
1000117,DGFS0010,2024-08-07T12:50:00,2024-08-07T14:00:00,primary
1000118,DGFM0004,2025-05-28T08:43:00,2025-05-28T11:30:00,primary
1000119,DGFS0017,2025-05-22T17:30:00,2025-05-22T18:30:00,primary
1000120,DGFS0004,2024-04-12T10:51:00,2024-04-12T12:30:00,primary
1000121,DGFM0002,2023-01-19T14:53:00,2023-01-19T16:30:00,primary
1000122,DGFM0001,2025-02-26T13:28:00,2025-02-26T16:00:00,primary
1000123,DGFM0004,2023-01-03T12:08:00,2023-01-03T14:30:00,primary
1000124,DGFS0007,2025-01-17T09:00:00,2025-01-17T10:30:00,primary
1000125,DGFS0001,2023-02-02T08:21:00,2023-02-02T09:30:00,primary
1000126,DGFS0020,2023-02-02T08:24:00,2023-02-02T09:30:00,primary
1000127,DGFS0004,2024-01-13T08:41:00,2024-01-13T10:30:00,primary
1000128,DGFS0002,2024-05-15T16:38:00,2024-05-15T18:30:00,primary
1000129,DGFS0020,2022-09-02T09:55:00,2022-09-02T11:30:00,primary
1000130,DGFS0009,2025-05-10T16:05:00,2025-05-10T18:30:00,primary
1000131,DGFS0011,2023-03-14T09:55:00,2023-03-14T12:30:00,primary
1000132,DGFM0002,2025-01-19T08:03:00,2025-01-19T09:30:00,primary
1000133,DGFS0025,2024-06-30T14:45:00,2024-06-30T16:30:00,primary
1000134,DGFS0025,2024-11-27T11:12:00,2024-11-27T12:30:00,primary
1000135,DGFS0017,2025-02-05T09:41:00,2025-02-05T11:30:00,primary
1000136,DGFS0021,2024-08-14T13:10:00,2024-08-14T14:30:00,primary
1000137,DGFS0014,2023-12-19T10:54:00,2023-12-19T12:30:00,primary
1000138,DGFS0014,2024-12-07T08:59:00,2024-12-07T10:00:00,primary
1000139,DGFM0001,2023-03-15T08:03:00,2023-03-15T09:30:00,primary
1000140,DGFM0001,2024-03-11T12:12:00,2024-03-11T14:00:00,primary
1000141,DGFS0004,2025-05-04T13:51:00,2025-05-04T15:30:00,primary
1000142,DGFS0019,2025-02-25T07:54:00,2025-02-25T09:30:00,primary
1000143,DGFS0008,2025-07-16T10:37:00,2025-07-16T13:00:00,primary
1000144,DGFS0018,2024-09-07T13:00:00,2024-09-07T15:30:00,primary
1000145,DGFS0022,2024-07-15T12:52:00,2024-07-15T14:30:00,primary
1000146,DGFS0014,2025-06-03T13:52:00,2025-06-03T15:30:00,primary
1000147,DGFS0010,2024-03-21T11:24:00,2024-03-21T13:30:00,primary
1000148,DGFS0017,2024-12-15T14:23:00,2024-12-15T15:30:00,primary
1000149,DGFS0006,2024-11-20T11:39:00,2024-11-20T13:30:00,primary
1000150,DGFM0001,2025-04-30T15:59:00,2025-04-30T18:30:00,primary
1000151,DGFM0003,2024-11-01T12:02:00,2024-11-01T13:30:00,primary
1000152,DGFS0022,2024-10-28T15:55:00,2024-10-28T17:30:00,primary
1000153,DGFS0001,2025-01-15T08:52:00,2025-01-15T11:00:00,primary
1000154,DGFS0010,2025-07-24T12:43:00,2025-07-24T14:30:00,primary
1000155,DGFS0009,2023-09-27T09:47:00,2023-09-27T11:30:00,primary
1000156,DGFS0013,2023-11-07T14:06:00,2023-11-07T16:00:00,primary
1000157,DGFS0007,2023-02-12T15:08:00,2023-02-12T16:30:00,primary
1000158,DGFS0022,2024-03-15T17:20:00,2024-03-15T18:30:00,primary
1000159,DGFM0003,2023-02-18T11:00:00,2023-02-18T14:30:00,primary
1000160,DGFS0005,2022-12-09T11:49:00,2022-12-09T13:00:00,primary
1000161,DGFM0004,2023-11-19T13:05:00,2023-11-19T15:30:00,primary
1000162,DGFS0008,2023-06-30T16:23:00,2023-06-30T18:30:00,primary
1000163,DGFS0015,2022-11-24T09:45:00,2022-11-24T12:30:00,primary
1000164,DGFS0019,2025-08-25T09:13:00,2025-08-25T11:30:00,primary
1000165,DGFS0020,2022-12-30T10:30:00,2022-12-30T11:30:00,primary
1000166,DGFM0004,2024-12-09T12:36:00,2024-12-09T14:30:00,primary
1000167,DGFS0001,2023-07-18T09:20:00,2023-07-18T11:30:00,primary
1000168,DGFM0001,2024-11-21T13:00:00,2024-11-21T14:30:00,primary
1000169,DGFS0017,2025-08-30T14:58:00,2025-08-30T16:30:00,primary
1000170,DGFS0024,2022-09-04T12:26:00,2022-09-04T14:30:00,primary
1000171,DGFS0007,2023-12-21T15:07:00,2023-12-21T17:30:00,primary
1000172,DGFS0012,2025-01-14T10:08:00,2025-01-14T11:30:00,primary
1000173,DGFS0022,2024-06-21T13:55:00,2024-06-21T16:30:00,primary
1000174,DGFS0008,2023-04-15T08:42:00,2023-04-15T10:30:00,primary
1000175,DGFM0003,2024-10-23T13:53:00,2024-10-23T15:30:00,primary
1000176,DGFS0009,2023-08-27T14:16:00,2023-08-27T15:30:00,primary
1000177,DGFS0016,2024-11-14T13:10:00,2024-11-14T15:30:00,primary
1000178,DGFS0019,2023-11-27T11:13:00,2023-11-27T12:30:00,primary
1000179,DGFS0021,2025-04-29T09:10:00,2025-04-29T10:30:00,primary
1000180,DGFS0017,2024-01-29T13:18:00,2024-01-29T16:30:00,primary
1000181,DGFM0005,2024-07-05T09:25:00,2024-07-05T12:30:00,primary
1000182,DGFS0002,2023-06-19T11:17:00,2023-06-19T13:30:00,primary
1000183,DGFS0016,2022-09-20T12:56:00,2022-09-20T14:00:00,primary
1000184,DGFM0002,2023-04-21T16:21:00,2023-04-21T18:00:00,primary
1000185,DGFS0020,2023-09-06T08:03:00,2023-09-06T09:30:00,primary
1000186,DGFS0012,2024-05-08T10:43:00,2024-05-08T13:00:00,primary
1000187,DGFS0009,2023-08-03T08:46:00,2023-08-03T11:30:00,primary
1000188,DGFM0005,2025-07-28T14:29:00,2025-07-28T15:30:00,primary
1000189,DGFS0019,2025-07-17T15:45:00,2025-07-17T18:00:00,primary
1000190,DGFS0002,2023-08-17T09:26:00,2023-08-17T10:30:00,primary
1000191,DGFS0005,2022-11-26T17:04:00,2022-11-26T18:30:00,primary
1000192,DGFS0015,2023-02-06T15:57:00,2023-02-06T18:30:00,primary
1000193,DGFS0006,2023-01-29T11:12:00,2023-01-29T14:00:00,primary
1000194,DGFS0012,2024-03-05T10:10:00,2024-03-05T12:00:00,primary
1000195,DGFS0024,2024-05-21T08:26:00,2024-05-21T10:00:00,primary
1000196,DGFM0003,2023-11-14T10:23:00,2023-11-14T11:30:00,primary
1000197,DGFS0016,2023-07-08T16:16:00,2023-07-08T18:30:00,primary
1000198,DGFM0005,2025-06-06T16:54:00,2025-06-06T18:00:00,primary
1000199,DGFS0002,2023-12-22T10:03:00,2023-12-22T13:30:00,primary
1000200,DGFS0022,2024-07-14T08:09:00,2024-07-14T10:30:00,primary
1000201,DGFM0002,2022-11-12T14:27:00,2022-11-12T15:30:00,primary
1000202,DGFM0003,2024-05-05T11:01:00,2024-05-05T12:30:00,primary
1000203,DGFS0003,2024-02-01T15:18:00,2024-02-01T17:00:00,primary
1000204,DGFS0004,2025-03-19T13:27:00,2025-03-19T15:00:00,primary
1000205,DGFS0016,2024-09-26T09:16:00,2024-09-26T11:30:00,primary
1000206,DGFS0009,2024-01-10T10:20:00,2024-01-10T12:30:00,primary
1000207,DGFS0023,2023-10-25T08:51:00,2023-10-25T10:30:00,primary
1000208,DGFS0023,2024-09-13T09:18:00,2024-09-13T10:30:00,primary
1000209,DGFS0010,2024-07-14T09:07:00,2024-07-14T11:30:00,primary
1000210,DGFS0012,2023-05-07T11:39:00,2023-05-07T13:30:00,primary
1000211,DGFS0013,2022-12-09T08:19:00,2022-12-09T09:30:00,primary
1000212,DGFS0017,2022-10-16T08:24:00,2022-10-16T09:30:00,primary
1000213,DGFM0002,2023-11-18T14:18:00,2023-11-18T16:30:00,primary
1000214,DGFS0014,2023-12-17T16:20:00,2023-12-17T17:30:00,primary
1000215,DGFS0024,2025-08-27T13:49:00,2025-08-27T15:30:00,primary
1000216,DGFS0007,2023-10-03T13:25:00,2023-10-03T14:30:00,primary
1000217,DGFS0009,2024-05-30T12:08:00,2024-05-30T13:30:00,primary
1000218,DGFS0005,2024-02-09T14:58:00,2024-02-09T16:00:00,primary
1000219,DGFM0005,2024-07-15T11:49:00,2024-07-15T13:00:00,primary
1000220,DGFS0024,2023-03-24T15:37:00,2023-03-24T17:30:00,primary
1000221,DGFS0013,2022-11-06T15:58:00,2022-11-06T17:30:00,primary
1000222,DGFS0020,2024-04-20T12:20:00,2024-04-20T14:30:00,primary
1000223,DGFS0008,2025-07-02T15:23:00,2025-07-02T17:30:00,primary
1000224,DGFS0025,2025-07-17T13:35:00,2025-07-17T15:30:00,primary
1000225,DGFS0017,2023-06-01T13:10:00,2023-06-01T16:30:00,primary
1000226,DGFM0001,2024-06-11T11:58:00,2024-06-11T14:30:00,primary
1000227,DGFS0022,2024-07-30T08:23:00,2024-07-30T09:30:00,primary
1000228,DGFS0015,2024-04-06T13:44:00,2024-04-06T15:00:00,primary
1000229,DGFS0016,2023-05-05T15:43:00,2023-05-05T18:30:00,primary
1000230,DGFS0012,2023-12-03T11:29:00,2023-12-03T12:30:00,primary
1000231,DGFS0006,2024-04-07T15:29:00,2024-04-07T17:00:00,primary
1000232,DGFM0002,2025-08-28T13:14:00,2025-08-28T15:30:00,primary
1000233,DGFS0025,2023-06-17T16:21:00,2023-06-17T17:30:00,primary
1000234,DGFS0024,2023-08-07T11:45:00,2023-08-07T13:30:00,primary
1000235,DGFS0008,2024-04-01T12:40:00,2024-04-01T15:00:00,primary
1000236,DGFS0019,2023-12-09T12:11:00,2023-12-09T14:30:00,primary
1000237,DGFS0010,2024-11-30T07:37:00,2024-11-30T11:30:00,primary
1000238,DGFS0019,2022-12-27T15:44:00,2022-12-27T17:00:00,primary
1000239,DGFM0002,2024-09-07T14:18:00,2024-09-07T16:30:00,primary
1000240,DGFS0012,2024-10-04T13:27:00,2024-10-04T14:30:00,primary
1000241,DGFS0019,2024-12-13T12:45:00,2024-12-13T14:30:00,primary
1000242,DGFS0015,2024-10-16T12:51:00,2024-10-16T14:30:00,primary
1000243,DGFS0002,2023-05-17T08:14:00,2023-05-17T09:30:00,primary
1000244,DGFS0005,2023-11-16T14:45:00,2023-11-16T16:30:00,primary
1000245,DGFS0004,2025-07-24T13:22:00,2025-07-24T16:30:00,primary
1000246,DGFS0010,2022-11-11T10:40:00,2022-11-11T12:00:00,primary
1000247,DGFS0019,2024-07-13T13:48:00,2024-07-13T15:30:00,primary
1000248,DGFS0007,2023-01-09T08:44:00,2023-01-09T10:00:00,primary
1000249,DGFS0004,2023-06-28T15:24:00,2023-06-28T17:30:00,primary
1000250,DGFS0021,2025-08-14T10:27:00,2025-08-14T12:30:00,primary
1000251,DGFS0008,2024-08-15T10:16:00,2024-08-15T13:30:00,primary
1000252,DGFS0017,2024-11-05T13:45:00,2024-11-05T15:30:00,primary
1000253,DGFS0019,2025-07-21T10:57:00,2025-07-21T13:30:00,primary
1000254,DGFS0018,2024-07-27T09:10:00,2024-07-27T10:30:00,primary
1000255,DGFS0017,2023-05-06T08:42:00,2023-05-06T10:00:00,primary
1000256,DGFS0004,2023-09-20T15:03:00,2023-09-20T17:30:00,primary
1000257,DGFM0002,2024-04-06T09:24:00,2024-04-06T10:30:00,primary
1000258,DGFS0017,2023-09-09T15:24:00,2023-09-09T18:30:00,primary
1000259,DGFM0005,2024-01-13T15:47:00,2024-01-13T17:30:00,primary
1000260,DGFS0001,2023-02-11T10:24:00,2023-02-11T12:00:00,primary
1000261,DGFS0020,2025-04-24T11:30:00,2025-04-24T12:30:00,primary
1000262,DGFS0018,2025-04-02T13:05:00,2025-04-02T14:30:00,primary
1000263,DGFS0017,2025-04-09T09:10:00,2025-04-09T10:30:00,primary
1000264,DGFS0019,2024-10-30T11:26:00,2024-10-30T13:00:00,primary
1000265,DGFS0020,2025-01-18T10:54:00,2025-01-18T12:30:00,primary
1000266,DGFS0005,2025-02-15T09:10:00,2025-02-15T10:30:00,primary
1000267,DGFS0006,2024-06-23T11:02:00,2024-06-23T13:30:00,primary
1000268,DGFS0001,2023-05-31T15:58:00,2023-05-31T18:30:00,primary
1000269,DGFS0012,2024-01-16T14:19:00,2024-01-16T15:30:00,primary
1000270,DGFS0021,2024-05-27T11:41:00,2024-05-27T13:30:00,primary
1000271,DGFS0007,2024-08-13T09:02:00,2024-08-13T11:30:00,primary
1000272,DGFS0024,2024-07-21T15:37:00,2024-07-21T18:30:00,primary
1000273,DGFS0025,2022-09-19T09:35:00,2022-09-19T11:30:00,primary
1000274,DGFS0021,2023-08-30T10:50:00,2023-08-30T13:30:00,primary
1000275,DGFM0003,2025-04-19T14:46:00,2025-04-19T17:30:00,primary
1000276,DGFM0001,2023-11-11T11:59:00,2023-11-11T13:30:00,primary
1000277,DGFS0009,2024-01-26T16:43:00,2024-01-26T18:30:00,primary
1000278,DGFS0007,2022-10-07T10:17:00,2022-10-07T11:30:00,primary
1000279,DGFS0007,2024-08-06T12:38:00,2024-08-06T14:30:00,primary
1000280,DGFM0004,2022-09-19T14:28:00,2022-09-19T16:00:00,primary
1000281,DGFS0022,2025-08-16T14:12:00,2025-08-16T15:30:00,primary
1000282,DGFS0021,2024-09-20T08:17:00,2024-09-20T10:30:00,primary
1000283,DGFS0020,2023-10-05T08:49:00,2023-10-05T10:30:00,primary
1000284,DGFS0024,2022-12-27T07:38:00,2022-12-27T09:30:00,primary
1000285,DGFS0022,2024-10-29T16:22:00,2024-10-29T18:30:00,primary
1000286,DGFS0024,2023-07-20T13:53:00,2023-07-20T15:30:00,primary
1000287,DGFS0020,2024-12-19T09:05:00,2024-12-19T10:30:00,primary
1000288,DGFS0023,2024-11-21T11:20:00,2024-11-21T14:00:00,primary
1000289,DGFS0011,2022-10-01T11:03:00,2022-10-01T13:30:00,primary
1000290,DGFS0020,2024-07-25T13:11:00,2024-07-25T14:30:00,primary
1000291,DGFS0007,2024-03-24T16:16:00,2024-03-24T18:00:00,primary
1000292,DGFS0006,2025-08-09T12:58:00,2025-08-09T15:30:00,primary
1000293,DGFS0019,2025-05-24T09:06:00,2025-05-24T10:30:00,primary
1000294,DGFS0009,2023-07-21T15:39:00,2023-07-21T17:00:00,primary
1000295,DGFS0017,2022-10-31T08:47:00,2022-10-31T11:30:00,primary
1000296,DGFS0011,2024-12-05T14:02:00,2024-12-05T15:30:00,primary
1000297,DGFS0006,2024-08-16T15:09:00,2024-08-16T16:30:00,primary
1000298,DGFS0011,2024-09-27T13:12:00,2024-09-27T14:30:00,primary
1000299,DGFS0012,2024-04-05T12:36:00,2024-04-05T14:30:00,primary
1000300,DGFS0017,2025-05-06T09:15:00,2025-05-06T10:30:00,primary
1000301,DGFS0023,2024-09-28T16:14:00,2024-09-28T17:30:00,primary
1000302,DGFM0002,2024-06-26T15:35:00,2024-06-26T17:30:00,primary
1000303,DGFS0024,2024-03-24T17:00:00,2024-03-24T18:00:00,primary
1000304,DGFS0019,2025-07-08T11:09:00,2025-07-08T13:30:00,primary
1000305,DGFS0022,2024-04-12T14:40:00,2024-04-12T17:30:00,primary
1000306,DGFS0005,2024-03-17T15:38:00,2024-03-17T18:00:00,primary
1000307,DGFS0020,2022-12-24T11:26:00,2022-12-24T14:30:00,primary
1000308,DGFS0002,2025-01-18T15:29:00,2025-01-18T16:30:00,primary
1000309,DGFS0021,2022-12-09T14:57:00,2022-12-09T16:00:00,primary
1000310,DGFM0001,2023-01-09T10:49:00,2023-01-09T12:30:00,primary
1000311,DGFS0019,2025-06-29T15:28:00,2025-06-29T17:30:00,primary
1000312,DGFM0001,2024-10-02T14:33:00,2024-10-02T17:00:00,primary
1000313,DGFS0018,2023-09-15T07:53:00,2023-09-15T11:30:00,primary
1000314,DGFS0025,2025-07-20T16:02:00,2025-07-20T17:30:00,primary
1000315,DGFS0003,2025-01-24T12:21:00,2025-01-24T15:30:00,primary
1000316,DGFS0002,2025-02-05T14:41:00,2025-02-05T16:30:00,primary
1000317,DGFS0008,2023-05-12T09:25:00,2023-05-12T11:30:00,primary
1000318,DGFS0019,2023-08-09T12:14:00,2023-08-09T14:30:00,primary
1000319,DGFS0021,2023-06-14T16:30:00,2023-06-14T18:30:00,primary
1000320,DGFM0005,2024-07-08T13:54:00,2024-07-08T16:00:00,primary
1000321,DGFS0010,2025-06-30T14:17:00,2025-06-30T15:30:00,primary
1000322,DGFS0003,2024-06-03T10:52:00,2024-06-03T12:00:00,primary
1000323,DGFS0021,2024-12-08T12:55:00,2024-12-08T14:30:00,primary
1000324,DGFS0006,2024-01-31T15:06:00,2024-01-31T16:30:00,primary
1000325,DGFM0001,2023-09-24T09:13:00,2023-09-24T10:30:00,primary
1000326,DGFS0022,2023-01-20T15:22:00,2023-01-20T16:30:00,primary
1000327,DGFS0020,2024-03-21T12:49:00,2024-03-21T14:00:00,primary
1000328,DGFS0024,2022-09-01T15:22:00,2022-09-01T17:00:00,primary
1000329,DGFS0001,2025-08-11T09:52:00,2025-08-11T11:30:00,primary
1000330,DGFS0002,2024-09-04T15:47:00,2024-09-04T17:30:00,primary
1000331,DGFM0002,2025-04-21T15:51:00,2025-04-21T17:30:00,primary
1000332,DGFS0002,2023-11-05T16:12:00,2023-11-05T17:30:00,primary
1000333,DGFS0015,2025-06-09T08:54:00,2025-06-09T10:30:00,primary
1000334,DGFS0019,2025-08-25T11:42:00,2025-08-25T15:30:00,primary
1000335,DGFS0009,2023-04-04T14:20:00,2023-04-04T16:00:00,primary
1000336,DGFS0013,2023-02-27T15:20:00,2023-02-27T18:00:00,primary
1000337,DGFS0020,2024-05-02T14:09:00,2024-05-02T16:00:00,primary
1000338,DGFS0015,2023-03-18T08:52:00,2023-03-18T11:30:00,primary
1000339,DGFS0004,2023-09-17T14:30:00,2023-09-17T15:30:00,primary
1000340,DGFS0003,2024-08-13T15:46:00,2024-08-13T18:30:00,primary
1000341,DGFS0008,2025-02-08T15:42:00,2025-02-08T18:00:00,primary
1000342,DGFS0013,2024-12-05T14:39:00,2024-12-05T16:30:00,primary
1000343,DGFM0001,2025-03-28T11:39:00,2025-03-28T13:30:00,primary
1000344,DGFS0022,2024-06-23T16:12:00,2024-06-23T17:30:00,primary
1000345,DGFS0019,2025-01-17T12:29:00,2025-01-17T13:30:00,primary
1000346,DGFS0012,2023-11-09T16:26:00,2023-11-09T18:30:00,primary
1000347,DGFS0009,2023-02-21T13:10:00,2023-02-21T15:00:00,primary
